"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,0.909210,10.080447,409356,843285424
1972,0.968646,10.867812,424952,862840403
1973,1.008293,11.472815,457928,881652080
1974,1.028100,11.832342,468506,899367640
1975,1.183215,13.249590,509360,915124661
1976,1.226421,13.949376,501363,929375924
1977,1.340831,15.210548,539316,942581333
1978,1.492778,16.675318,602237,955138943
1979,1.525661,17.178573,648007,968298969
1980,1.494496,17.379122,698594,982372466
1981,1.476488,17.149859,734729,997259502
1982,1.606585,17.916733,800372,1013483166
1983,1.694217,19.071714,887095,1029226907
1984,1.844828,20.466521,1021393,1044172197
1985,1.998083,22.141335,1158703,1060239979
1986,2.104213,23.198782,1262288,1077770523
1987,2.257739,25.020860,1409836,1096851843
1988,2.425894,26.881604,1568224,1115889802
1989,2.463654,28.211171,1633868,1134414723
1990,2.484855,28.577698,1697705,1153704252
1991,2.606096,30.015399,1855491,1170626171
1992,2.730788,31.585351,2119271,1183813389
1993,2.921651,34.047482,2413162,1195855558
1994,3.100002,36.175724,2728132,1207286675
1995,3.357909,37.269571,3026841,1218144426
1996,3.503234,39.266818,3327357,1228298836
1997,3.510169,39.532082,3634498,1237801448
1998,3.360455,39.602038,3919356,1246836105
1999,3.552842,40.989845,4219872,1255433236
2000,3.644464,42.481024,4578203,1264099069
2001,3.723731,44.892228,4960021,1272739582
2002,4.112459,48.889766,5412903,1280926120
2003,4.827446,56.947523,5956120,1288873367
2004,5.223755,66.632887,6558357,1296816711
2005,5.876555,75.697793,7305732,1304887562
2006,6.488804,82.974124,8234983,1313086567
2007,6.978612,90.177458,9406936,1321513224
2008,7.496832,93.668406,10315108,1330167148
2009,7.886533,97.772036,11284709,1339125595
2010,8.616653,104.595047,12484967,1348191368
2011,9.528556,112.800869,13675589,1357095481
2012,9.779282,117.433284,14749979,1366560818
2013,9.956308,121.852246,15894228,1376100308
2014,9.998621,125.409515,17054136,1385189668
2015,9.866904,127.018876,18230906,1393715448
2016,9.764980,129.154855,19452377,1401889681
2017,10.011107,133.603714,20794591,1410275957
2018,10.353877,138.882849,22198433.838410,1417069468
2019,10.740996,143.922566,23519462.636134,1421864031
2020,10.956213,147.580473,24047239.377689,1424929781
2021,11.472367,157.647225,25990256.319406,1425893465
