"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,6.153299,128.460170,11869545,1767208290
1972,6.437579,135.354200,12652395,1804495581
1973,6.829474,144.469117,13668800,1843257419
1974,6.954943,146.846343,14277380,1882772688
1975,7.075577,148.144520,14558063,1922845024
1976,7.422557,155.910845,15571468,1963639165
1977,7.691311,161.471423,16238358,2005261564
1978,7.920544,168.407895,16724146,2047703728
1979,8.237457,175.683093,17526532,2091165685
1980,8.382605,175.730143,17931399,2135475644
1981,8.282805,176.312940,18303034,2181012512
1982,8.360584,176.944220,18537479,2228102274
1983,8.443926,180.060860,18812333,2275958367
1984,8.673003,188.044758,19391192,2324315755
1985,9.089304,191.679286,19937045,2373209120
1986,9.235430,196.096064,20632171,2422802920
1987,9.369465,201.934503,21354242,2473193112
1988,9.798023,207.684788,22149047,2523716183
1989,9.874684,210.173862,22905061,2574340973
1990,10.156277,213.876194,23556023,2624658208
1991,10.610074,214.995634,23876326,2674568943
1992,9.788256,214.431159,24002579,2724334069
1993,9.772952,213.006553,24313208,2773543248
1994,9.612162,213.400992,24663500,2822046615
1995,9.654762,217.456667,25289044,2870519860
1996,9.822887,222.215270,26214503,2919353033
1997,9.881175,224.046928,27162538,2968140063
1998,9.844896,224.732096,27308157,3016871828
1999,10.054799,227.989521,27894333,3065815815
2000,10.428710,233.011978,29257948,3115211733
2001,10.601788,236.362531,29809830,3165204366
2002,10.735060,238.943976,30620596,3215488123
2003,11.173095,244.204713,31771155,3265835526
2004,11.510481,251.757537,33564182,3316573028
2005,11.736952,255.560574,35136692,3368188171
2006,12.047836,260.952895,36944384,3421151410
2007,12.272936,265.339282,38855015,3475227455
2008,12.519979,268.317677,40035185,3530463869
2009,12.234043,259.974190,39466899,3587133630
2010,12.876387,272.117543,41544495,3644661079
2011,13.191489,275.672248,43077113,3702660415
2012,13.563889,278.994350,44499506,3761419865
2013,13.556372,280.303022,45935349,3820972796
2014,13.705041,279.661525,47123611,3881135029
2015,13.793198,282.203152,47998704,3941559324
2016,13.853113,286.111302,49019123,4001399286
2017,14.086072,290.183865,50366805,4060640302
2018,14.175636,294.461476,51264169.876330,4120048340
2019,14.299984,294.106434,52165747.554159,4179430296
2020,13.586864,276.845988,50219259.660356,4237194397
2021,14.119692,289.216233,52591110.905328,4292570042
