"Year","All others","India","China","EU27","USA"
1959,3.261926,0.101447,0.720152,1.940773,2.831923
1960,3.480970,0.111325,0.798800,2.099258,2.897315
1961,3.641690,0.120404,0.570630,2.198862,2.886873
1962,3.811194,0.132582,0.459618,2.353764,2.993902
1963,4.033899,0.142444,0.456779,2.512045,3.126487
1964,4.321952,0.139488,0.460637,2.643221,3.264314
1965,4.588028,0.153702,0.500286,2.676033,3.399547
1966,4.829127,0.159374,0.549459,2.757553,3.571421
1967,5.099626,0.159556,0.460226,2.819160,3.705461
1968,5.408010,0.174070,0.495507,2.992386,3.840920
1969,5.756136,0.177414,0.607683,3.191021,4.035145
1970,6.238979,0.181723,0.807953,3.330375,4.339686
1971,6.614608,0.191964,0.909210,3.424249,4.365465
1972,6.929498,0.203036,0.968646,3.554534,4.573015
1973,7.356105,0.209095,1.008293,3.727651,4.785049
1974,7.444028,0.215853,1.028100,3.708449,4.621046
1975,7.523188,0.234209,1.183215,3.635789,4.478226
1976,7.861391,0.244750,1.226421,3.911563,4.747762
1977,8.140330,0.258962,1.340831,3.873114,4.889607
1978,8.376296,0.263150,1.492778,4.003607,4.941362
1979,8.694854,0.276285,1.525661,4.113083,5.008579
1980,8.829020,0.291711,1.494496,4.077515,4.808520
1981,8.694951,0.314966,1.476488,3.863343,4.686369
1982,8.733764,0.325380,1.606585,3.771501,4.447256
1983,8.802229,0.352199,1.694217,3.728521,4.429374
1984,9.032622,0.361560,1.844828,3.763603,4.662141
1985,9.456621,0.397592,1.998083,3.820610,4.652580
1986,9.628975,0.426310,2.104213,3.804491,4.663370
1987,9.896817,0.455343,2.257739,3.838355,4.825651
1988,10.343405,0.491693,2.425894,3.796329,5.050475
1989,10.439715,0.540651,2.463654,3.834247,5.132134
1990,10.706641,0.577997,2.484855,3.865492,5.122496
1991,11.155321,0.615366,2.606096,3.803036,5.064987
1992,10.344193,0.655448,2.730788,3.674375,5.175220
1993,10.332544,0.677300,2.921651,3.607042,5.274363
1994,10.199087,0.716269,3.100002,3.588562,5.365579
1995,10.274830,0.761449,3.357909,3.636726,5.427798
1996,10.493832,0.825201,3.503234,3.720685,5.616431
1997,10.586878,0.858935,3.510169,3.654736,5.691865
1998,10.593030,0.876952,3.360455,3.645694,5.737129
1999,10.827720,0.950951,3.552842,3.590544,5.810331
2000,11.212272,0.978104,3.644464,3.602432,6.016351
2001,11.380627,0.991732,3.723731,3.659970,5.911989
2002,11.532293,1.022175,4.112459,3.661412,5.952699
2003,12.005070,1.058725,4.827446,3.744551,6.015804
2004,12.414852,1.124518,5.223755,3.755608,6.117963
2005,12.679620,1.184927,5.876555,3.735897,6.137603
2006,13.042833,1.258643,6.488804,3.745674,6.057163
2007,13.325341,1.356953,6.978612,3.710596,6.135287
2008,13.581532,1.461518,7.496832,3.627085,5.918869
2009,13.250902,1.611416,7.886533,3.332202,5.482978
2010,13.957172,1.676495,8.616653,3.432635,5.681392
2011,14.300431,1.778473,9.528556,3.332923,5.546629
2012,14.658794,1.962594,9.779282,3.260143,5.345454
2013,14.667427,2.037415,9.956308,3.177125,5.480926
2014,14.822506,2.187343,9.998621,3.040193,5.528871
2015,14.951593,2.270766,9.866904,3.092725,5.376578
2016,15.023894,2.383816,9.764980,3.099745,5.251758
2017,15.316579,2.434868,10.011107,3.123227,5.210958
2018,15.446327,2.600446,10.353877,3.049199,5.376657
2019,15.549543,2.626459,10.740996,2.906417,5.259144
2020,14.525373,2.445012,10.956213,2.621796,4.715691
2021,15.141448,2.709684,11.472367,2.793016,5.007336
2022,15.397642,2.871576,11.364129,2.770992,5.083431
