"Year","IND_prod","IND_cons","EU27_prod","EU27_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,0.664019,0.660851,9.235778,10.501149,20.648255,20.347501,2.153806,2.011824
1991,0.692245,0.671166,9.059302,10.205298,20.134295,19.725270,2.226241,2.051064
1992,0.722197,0.712204,8.727255,10.924505,20.281035,20.175215,2.306772,2.177177
1993,0.731148,0.703520,8.544924,10.173504,20.381667,20.126004,2.443147,2.306528
1994,0.757746,0.724505,8.482149,9.874394,20.457946,20.247800,2.567743,2.276363
1995,0.789656,0.746073,8.580937,9.996712,20.431330,20.217650,2.756577,2.456348
1996,0.839232,0.781769,8.766817,9.868846,20.880140,20.590730,2.852102,2.541750
1997,0.856934,0.802062,8.600163,9.653953,20.895594,20.717154,2.835810,2.468247
1998,0.858549,0.803076,8.568799,9.769738,20.799134,21.054503,2.695186,2.371707
1999,0.913936,0.868013,8.429921,9.744749,20.812016,21.440773,2.829973,2.522735
2000,0.923058,0.854654,8.443825,9.843532,21.304467,22.113253,2.883053,2.575952
2001,0.919146,0.846320,8.562843,9.849195,20.709631,21.609846,2.925760,2.634232
2002,0.930677,0.845115,8.547145,9.790518,20.643986,21.833731,3.210536,2.855746
2003,0.947477,0.877988,8.714358,10.132819,20.665068,22.287738,3.745477,3.155501
2004,0.989662,0.911256,8.710265,10.247998,20.813086,22.531967,4.028136,3.332363
2005,1.026231,0.948908,8.635383,10.423655,20.676284,22.669196,4.503496,3.613224
2006,1.073585,0.982400,8.629685,10.615046,20.207175,22.407478,4.941642,3.908266
2007,1.140592,1.066501,8.515369,10.590470,20.265635,21.971757,5.280773,4.196879
2008,1.211135,1.127660,8.290421,10.476450,19.362012,20.698752,5.636008,4.488403
2009,1.316904,1.246931,7.593082,9.435083,17.772331,18.750208,5.889315,5.021762
2010,1.351343,1.271606,7.803362,9.780675,18.257408,19.188434,6.391268,5.444733
2011,1.414156,1.305888,7.561201,9.443941,17.671368,18.551447,7.021286,5.998458
2012,1.539909,1.428358,7.384547,8.823670,16.881200,17.862911,7.156126,6.223093
2013,1.578007,1.406251,7.189716,8.536525,17.161404,17.982370,7.235162,6.345732
2014,1.673244,1.524191,6.873942,8.272286,17.168597,18.141991,7.218233,6.370863
2015,1.716550,1.607038,6.985990,8.146500,16.563306,17.852444,7.079569,6.368062
2016,1.780779,1.650164,6.994330,8.179718,16.050104,17.309806,6.965584,6.329236
2017,1.798018,1.690358,7.038309,8.252913,15.800777,17.087513,7.098687,6.488228
2018,1.899518,1.776258,6.862261,8.305563,16.187923,17.476597,7.306542,6.793307
2019,1.898949,1.784030,6.530878,7.932093,15.730884,17.027068,7.554165,7.004305
2020,1.750956,1.630551,5.887834,7.206887,14.037218,15.471116,7.688950,7.041331
