"Year","GDP-PPP","Emissions/GDP-PPP"
1,25.990256,0.441410
2,18.642323,0.268600
3,9.458035,0.286495
4,4.694243,0.227385
5,3.673726,0.183670
6,3.455749,0.508008
7,3.246019,0.190781
8,2.996223,0.163166
9,2.616892,0.132513
10,2.591066,0.118084
