"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,4.365465,66.920432,4915407,202907917
1972,4.573015,70.250694,5173904,205238390
1973,4.785049,73.223265,5466008,207314764
1974,4.621046,71.433385,5436461,209277968
1975,4.478226,69.550137,5425291,211274535
1976,4.747762,73.355435,5717614,213270022
1977,4.889607,75.224328,5982005,215437405
1978,4.941362,76.893447,6313127,217881437
1979,5.008579,77.703842,6513010,220463115
1980,4.808520,74.707049,6496288,223140018
1981,4.686369,72.497135,6661146,225654008
1982,4.447256,69.545305,6541053,228001418
1983,4.429374,69.301914,6840891,230389964
1984,4.662141,72.848482,7335940,232766280
1985,4.652580,72.663282,7641823,235146182
1986,4.663370,73.339077,7906433,237512783
1987,4.825651,75.801793,8179962,239853168
1988,5.050475,79.253595,8521643,242287814
1989,5.132134,81.173276,8834613,244954094
1990,5.122496,81.383804,9001231,248083732
1991,5.064987,81.274716,8991486,251560189
1992,5.175220,82.473640,9308206,255175339
1993,5.274363,84.204086,9564446,258779753
1994,5.365579,85.753396,9949782,262273589.000000
1995,5.427798,87.627295,10216863,265660556.000000
1996,5.616431,90.581036,10602294,268984347
1997,5.691865,91.260915,11073801,272395438
1998,5.737129,91.844996,11570064,275835018
1999,5.810331,93.474381,12120016,279181581
2000,6.016351,95.563535,12620268,282398554
2001,5.911989,93.286009,12746261,285470493
2002,5.952699,94.672254,12968262,288350252
2003,6.015804,94.968404,13339311,291109820
2004,6.117963,96.831177,13846057,293947885
2005,6.137603,96.876481,14332499,296842670
2006,6.057163,96.113227,14741688,299753098
2007,6.135287,97.429632,15018267,302743399
2008,5.918869,95.059854,14997755,305694910
2009,5.482978,90.379910,14617299,308512035
2010,5.681392,93.426715,14992052,311182845
2011,5.546629,92.613835,15224554,313876608
2012,5.345454,90.172312,15567037,316651321
2013,5.480926,92.619900,15853795,319375166
2014,5.528871,93.586385,16242526,322033964
2015,5.376578,92.689322,16710458.000000,324607776
2016,5.251758,92.603345,16972347,327210198
2017,5.210958,92.948511,17348626,329791231
2018,5.376657,96.344903,17855032.392940,332140037
2019,5.259144,95.657980,18263734.084414,334319671
2020,4.715691,88.535605,17641853.938840,335942003
2021,5.007336,92.971659,18642323.475712,336997624
