"Year","China","USA","EU27","India","Russia","Japan"
1959,0.720152,2.831923,1.940773,0.101447,0.849684,0.192620
1960,0.798800,2.897315,2.099258,0.111325,0.884645,0.232500
1961,0.570630,2.886873,2.198862,0.120404,0.912314,0.282787
1962,0.459618,2.993902,2.353764,0.132582,0.957528,0.292864
1963,0.456779,3.126487,2.512045,0.142444,1.026907,0.324835
1964,0.460637,3.264314,2.643221,0.139488,1.092143,0.358891
1965,0.500286,3.399547,2.676033,0.153702,1.158564,0.386471
1966,0.549459,3.571421,2.757553,0.159374,1.223502,0.419245
1967,0.460226,3.705461,2.819160,0.159556,1.279356,0.489307
1968,0.495507,3.840920,2.992386,0.174070,1.315310,0.561913
1969,0.607683,4.035145,3.191021,0.177414,1.369809,0.653215
1970,0.807953,4.339686,3.330375,0.181723,1.440679,0.767963
1971,0.909210,4.365465,3.424249,0.191964,1.528855,0.796544
1972,0.968646,4.573015,3.554534,0.203036,1.608550,0.852170
1973,1.008293,4.785049,3.727651,0.209095,1.676483,0.914265
1974,1.028100,4.621046,3.708449,0.215853,1.740323,0.914306
1975,1.183215,4.478226,3.635789,0.234209,1.829332,0.868511
1976,1.226421,4.747762,3.911563,0.244750,1.899786,0.907145
1977,1.340831,4.889607,3.873114,0.258962,1.964405,0.933238
1978,1.492778,4.941362,4.003607,0.263150,2.031869,0.901590
1979,1.525661,5.008579,4.113083,0.276285,2.048720,0.953071
1980,1.494496,4.808520,4.077515,0.291711,2.129329,0.944869
1981,1.476488,4.686369,3.863343,0.314966,2.088785,0.926835
1982,1.606585,4.447256,3.771501,0.325380,2.128165,0.897408
1983,1.694217,4.429374,3.728521,0.352199,2.158351,0.880909
1984,1.844828,4.662141,3.763603,0.361560,2.177516,0.937070
1985,1.998083,4.652580,3.820610,0.397592,2.348382,0.912401
1986,2.104213,4.663370,3.804491,0.426310,2.348803,0.912260
1987,2.257739,4.825651,3.838355,0.455343,2.357851,0.902530
1988,2.425894,5.050475,3.796329,0.491693,2.436908,0.985464
1989,2.463654,5.132134,3.834247,0.540651,2.404825,1.021682
1990,2.484855,5.122496,3.865492,0.577997,2.534865,1.158129
1991,2.606096,5.064987,3.803036,0.615366,2.405532,1.169778
1992,2.730788,5.175220,3.674375,0.655448,1.965610,1.179504
1993,2.921651,5.274363,3.607042,0.677300,1.865939,1.172487
1994,3.100002,5.365579,3.588562,0.716269,1.646942,1.227514
1995,3.357909,5.427798,3.636726,0.761449,1.618951,1.239909
1996,3.503234,5.616431,3.720685,0.825201,1.586173,1.252447
1997,3.510169,5.691865,3.654736,0.858935,1.481619,1.245139
1998,3.360455,5.737129,3.645694,0.876952,1.464543,1.205250
1999,3.552842,5.810331,3.590544,0.950951,1.493155,1.241836
2000,3.644464,6.016351,3.602432,0.978104,1.478185,1.264595
2001,3.723731,5.911989,3.659970,0.991732,1.514714,1.249989
2002,4.112459,5.952699,3.661412,1.022175,1.505520,1.279362
2003,4.827446,6.015804,3.744551,1.058725,1.535293,1.287692
2004,5.223755,6.117963,3.755608,1.124518,1.541754,1.283077
2005,5.876555,6.137603,3.735897,1.184927,1.559083,1.290600
2006,6.488804,6.057163,3.745674,1.258643,1.618246,1.267624
2007,6.978612,6.135287,3.710596,1.356953,1.618586,1.303362
2008,7.496832,5.918869,3.627085,1.461518,1.646969,1.232481
2009,7.886533,5.482978,3.332202,1.611416,1.539306,1.163375
2010,8.616653,5.681392,3.432635,1.676495,1.626188,1.215058
2011,9.528556,5.546629,3.332923,1.778473,1.679278,1.265035
2012,9.779282,5.345454,3.260143,1.962594,1.694576,1.306183
2013,9.956308,5.480926,3.177125,2.037415,1.632716,1.315569
2014,9.998621,5.528871,3.040193,2.187343,1.631662,1.264413
2015,9.866904,5.376578,3.092725,2.270766,1.629713,1.223605
2016,9.764980,5.251758,3.099745,2.383816,1.624756,1.203888
2017,10.011107,5.210958,3.123227,2.434868,1.654154,1.188359
2018,10.353877,5.376657,3.049199,2.600446,1.700453,1.143412
2019,10.740996,5.259144,2.906417,2.626459,1.692363,1.106015
2020,10.956213,4.715691,2.621796,2.445012,1.624221,1.042224
2021,11.472367,5.007336,2.793016,2.709684,1.755547,1.067398
