"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1971,3.424249,46.606926,5864099,386311288
1972,3.554534,49.140406,6163433,388928003
1973,3.727651,51.941395,6547400,391450135
1974,3.708449,51.430726,6778078,393899609
1975,3.635789,51.163687,6787316,396192923
1976,3.911563,54.376710,7118539,398287712
1977,3.873114,55.194408,7345139,400304332
1978,4.003607,57.454603,7573770,402142985
1979,4.113083,59.542776,7835614,403862927
1980,4.077515,58.535356,8003548,405627451
1981,3.863343,56.854098,8005150,407250195
1982,3.771501,55.512542,8062209,408628060
1983,3.728521,55.767876,8200327,409863559
1984,3.763603,57.465405,8421623,411049653
1985,3.820610,60.415038,8617753,412238076
1986,3.804491,61.286634,8877623,413424951
1987,3.838355,62.557747,9096011,414679266
1988,3.796329,63.082329,9452337,415961539
1989,3.834247,63.234062,9771495,417254691
1990,3.865492,62.934051,10115114,418534484
1991,3.803036,62.650438,10199203,419793488
1992,3.674375,61.446260,10274221,421023012
1993,3.607042,60.980390,10218879,422126899
1994,3.588562,60.745802,10496637,423072238
1995,3.636726,62.247628,10832667,423814630
1996,3.720685,64.158443,11051069,424405436
1997,3.654736,63.912979,11349520,424961247
1998,3.645694,64.569933,11684498,425461504
1999,3.590544,64.267815,12021984,425928523
2000,3.602432,64.729980,12491832,426635023
2001,3.659970,66.021979,12771970,427424679
2002,3.661412,65.595026,12940491,428378358
2003,3.744551,66.862239,13092746,429699049
2004,3.755608,67.796103,13456173,431170333
2005,3.735897,67.850633,13738717,432626658
2006,3.745674,68.362926,14245364,434045248
2007,3.710596,67.527782,14732099,435752832
2008,3.627085,67.260826,14865659,437503177
2009,3.332202,63.278219,14227451,438847033
2010,3.432635,65.706686,14519703,439891789
2011,3.332923,63.766729,14778934,440792792
2012,3.260143,63.076799,14679509,441481826
2013,3.177125,62.597246,14680767,441898478
2014,3.040193,60.388267,14925974,442278024
2015,3.092725,61.162220,15289560,442703803
2016,3.099745,61.845246,15619736,443179776
2017,3.123227,62.416554,16052643,443746850
2018,3.049199,62.631075,16407300.559650,444343192
2019,2.906417,61.629989,16737064.548880,445026986
2020,2.621796,56.935374,15782749.110954,445290452
2021,2.793016,59.989520,16622428.948946,445051168
