"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,,431.156445,430.635788,434.781955,434.781955,434.783224,434.687675,435.775278,435.894768,435.011533,434.656302,434.656302,436.203828,436.204250,434.967842,439.944102,439.639706,438.008802,439.549775,439.549840,438.904296,438.208034,438.208034,438.208034
1991,,431.272356,430.495569,434.229430,434.226011,434.201257,433.830890,434.871786,434.987524,434.447875,434.156415,434.156415,435.937705,435.938614,434.881451,440.094422,439.344609,437.538597,439.094031,439.094125,438.385654,437.741830,437.741830,437.741830
1992,,429.751598,429.474729,433.895855,433.892717,433.841874,433.417575,434.435804,434.591792,434.117812,433.867570,433.867570,435.534555,435.535835,435.264502,439.210414,437.251194,437.829804,439.315218,439.315320,438.770955,437.936511,437.936511,437.936511
1993,,424.018405,424.411876,427.712178,427.710544,427.711940,427.115948,427.792471,427.898251,427.392463,427.170177,427.170177,429.157349,429.158009,428.904721,431.600974,430.545313,430.179958,431.604727,431.604813,431.176400,430.267771,430.267771,430.267771
1994,,416.576694,417.250725,420.709874,420.709358,420.928012,420.095413,420.573815,420.674584,420.081676,419.903978,419.903978,421.404211,421.404100,421.453798,425.490635,424.810616,424.581721,425.796750,425.796827,425.428213,424.506707,424.506707,424.506707
1995,,446.582216,446.659918,445.714272,445.712155,445.845183,445.400646,445.861386,445.959296,445.150758,444.943678,444.943678,447.200964,447.201169,447.513431,451.978907,451.433244,448.332906,449.826011,449.826113,449.430216,448.595815,448.595815,448.595815
1996,,439.644125,438.857664,439.185505,439.194837,439.327677,438.910242,439.221258,439.322219,438.617057,438.303363,438.303363,440.234642,440.235507,440.684275,444.561574,444.186171,442.277406,444.029280,444.029375,443.656710,442.842922,442.842922,442.842922
1997,,444.179960,443.122078,443.424874,443.434078,443.568441,443.112278,443.462486,443.567159,442.635399,442.371701,442.371701,444.054525,444.055434,444.462846,449.465621,448.835473,448.044941,449.754083,449.754151,449.430941,448.570959,448.570959,448.570959
1998,,455.796918,452.983524,454.381847,454.391314,454.875374,454.388945,454.681557,454.789394,453.777355,453.524083,453.524083,454.966828,454.967633,456.103103,460.240328,459.907709,460.049199,461.945883,461.945962,461.646721,460.824366,460.824366,460.824366
1999,,460.075368,460.271540,459.364435,459.386468,459.911354,459.592335,460.084592,460.196743,458.991776,458.824817,458.824817,460.339879,459.840642,460.709356,464.601453,464.290728,464.548481,466.424826,466.424936,466.393429,465.507838,465.507839,465.507839
2000,,462.075580,467.548229,463.598013,463.607356,464.276383,462.715455,463.602858,463.669784,462.485088,462.277691,462.277691,465.172779,465.175073,466.240554,470.767747,470.293757,468.442086,470.493152,470.487187,470.524119,469.598274,469.598275,469.598275
2001,460.762755,469.515497,472.005002,469.319727,469.298432,470.178078,468.439044,469.524739,469.618504,468.455327,468.283970,468.283970,471.122217,471.124277,472.542144,476.201869,475.965743,468.642863,470.575948,470.568081,470.577433,469.679255,469.679257,469.679257
2002,,468.960850,471.401885,471.157709,471.144220,472.394767,470.590274,471.863921,471.927304,470.604712,470.530857,470.530857,473.501461,473.504059,474.570959,477.709338,477.504756,476.251236,478.005096,477.998974,478.001997,477.107221,477.136321,477.136321
