"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,402.723594,402.129733,405.419392,405.378854,405.380124,405.362408,405.364295,405.318373,404.427064,404.072235,404.072235,406.003679,406.004102,404.628075,409.585934,409.279199,407.633759,409.193036,409.193102,408.579179,409.194147,409.194147
1991,,403.185010,402.382668,405.294150,405.252707,405.227953,404.891703,404.893310,404.844890,404.295834,404.004238,404.004238,406.037453,406.038363,404.880398,410.074086,409.321627,407.501851,409.036973,409.037066,408.361132,409.037689,409.037689
1992,,401.173219,400.854843,404.425856,404.383416,404.332573,403.948050,403.949228,403.899855,403.417855,403.166597,403.166597,405.023724,405.025005,404.669740,408.595165,406.633496,407.203187,408.675466,408.675568,408.160866,408.676107,408.676107
1993,,398.508992,398.768791,401.187146,401.166084,401.167479,400.610696,400.611785,400.559796,400.044563,399.823226,399.823226,401.618296,401.618957,401.282025,403.956066,402.898454,402.528389,403.932631,403.932718,403.529638,403.933300,403.933300
1994,,392.050581,392.435647,395.126199,395.108884,395.333585,394.537775,394.539213,394.483046,393.877975,393.701627,393.701627,394.858042,394.857931,394.816054,398.828923,398.146923,397.912406,399.121857,399.121935,398.774665,399.122625,399.122625
1995,,420.277073,419.822575,418.338776,418.330843,418.463871,418.078674,418.080346,418.017589,417.195592,416.988577,416.988577,419.038556,419.038761,419.232525,423.673328,423.126202,420.019947,421.519755,421.519857,421.144682,421.520817,421.520817
1996,,415.505863,414.191228,414.246334,414.252347,414.385187,414.043114,414.044272,413.995545,413.267414,412.954678,412.954678,414.598702,414.599568,414.922876,418.774255,418.397559,416.482467,418.240093,418.240189,417.886718,418.241041,418.241041
1997,,419.680325,418.030232,418.369086,418.382419,418.516781,418.123504,418.124326,418.069703,417.124906,416.863109,416.863109,418.215348,418.216256,418.502179,423.477774,422.845912,422.048411,423.761659,423.761727,423.457866,423.762859,423.762859
1998,,431.471156,427.914126,429.326844,429.339911,429.823971,429.405088,429.406355,429.353648,428.329349,428.077164,428.077164,429.164014,429.164819,430.158027,434.267491,433.933341,434.068091,435.987517,435.987596,435.705439,435.988825,435.988825
1999,,435.118622,434.599808,434.298230,434.326253,434.851139,434.558593,434.791401,434.738141,433.486748,433.320379,433.320379,434.439475,433.940239,434.669025,438.533948,438.221725,438.472849,440.357718,440.357829,440.344006,440.562591,440.562591
2000,,436.166473,440.941815,437.956676,437.978893,438.642663,437.143250,437.742260,437.683709,436.436684,436.230371,436.230371,438.731630,438.731274,439.627572,444.132137,443.657205,441.798445,443.882201,443.876236,443.929703,444.076377,444.076377
2001,437.335786,443.159112,444.799372,442.886428,442.875299,443.754945,442.063258,442.856692,442.800448,441.555175,441.387145,441.387145,443.953631,443.952828,445.218873,448.857207,448.620213,441.290138,443.233348,443.225481,443.250696,443.413459,443.413459
2002,,443.034553,444.451654,444.814412,444.811306,446.061853,444.221299,445.156801,445.105448,443.763303,443.693335,443.693335,446.445190,446.445222,447.349840,450.467893,450.262751,449.002393,450.782410,450.776288,450.794724,450.954591,450.983689
2003,,,459.254370,459.144679,459.311994,460.522982,458.632831,459.598821,459.799158,458.603475,458.529733,458.529733,461.527301,461.528052,460.135272,463.327951,462.597280,466.024272,467.847570,467.844445,467.903940,468.038755,468.038755
2004,,,,461.612064,462.647912,462.760540,460.802521,461.908859,461.848162,460.577778,460.499383,460.499383,463.700832,463.702863,463.671486,466.433569,465.496124,470.518793,472.509014,472.504414,472.587963,472.682566,472.682566
2005,,,,,465.006417,463.052222,462.022916,461.880795,461.495377,459.446841,459.366612,459.366627,461.672608,461.457119,462.068819,465.714620,464.938360,470.480276,472.747533,472.743439,472.848664,472.908957,472.909042
2006,,,,,,458.983829,457.573051,457.679116,456.746575,454.855507,454.781017,454.781017,457.400570,456.989169,457.583568,460.177682,459.427179,465.554188,467.348440,467.344899,467.445895,467.638836,467.639025
2007,,,,,,,446.746873,447.620074,447.051458,446.317074,446.236477,446.236477,448.622204,448.326789,448.830433,450.585348,449.169279,457.789766,460.731295,460.730008,460.830080,461.003965,461.004046
2008,,,,,,,,441.580699,439.473148,437.477424,437.402505,437.182882,440.811490,440.471340,439.143453,440.606216,440.013192,448.777713,451.477671,451.476717,451.697851,451.729001,451.733818
2009,,,,,,,,,395.789484,394.007052,393.750391,393.482932,397.080011,396.876789,394.229603,393.998000,394.737640,400.693288,402.842488,402.842555,403.112897,403.140546,403.111730
2010,,,,,,,,,,404.020670,403.545841,403.219115,406.806713,406.543772,403.028268,402.574715,404.039647,411.382308,413.891972,413.893624,414.322028,414.338328,414.306255
2011,,,,,,,,,,,392.749602,392.049500,394.981173,394.532267,391.054528,391.554719,392.057064,400.157793,402.406871,402.408220,402.902937,402.931818,402.932370
2012,,,,,,,,,,,,368.499473,372.416390,370.451767,371.533652,373.175034,373.730417,382.657612,384.561624,384.840042,385.415204,385.415511,385.416077
2013,,,,,,,,,,,,,343.662509,344.986834,345.902418,346.347019,347.033253,350.517336,352.800151,352.663322,353.248023,353.253089,353.253853
2014,,,,,,,,,,,,,,326.514864,330.861596,332.263346,332.334440,331.647300,333.385621,333.217977,333.872407,333.867851,333.868574
2015,,,,,,,,,,,,,,,341.666205,339.950643,340.243401,344.542292,345.769508,345.645851,346.340134,346.334686,346.335649
2016,,,,,,,,,,,,,,,,334.927502,338.081838,341.147176,342.661038,342.766131,343.310683,343.305378,343.306393
2017,,,,,,,,,,,,,,,,,333.435817,335.933411,337.325874,337.247899,337.839969,337.833716,337.834791
2018,,,,,,,,,,,,,,,,,,332.283718,333.276561,333.245762,333.962316,333.954820,333.955449
2019,,,,,,,,,,,,,,,,,,,324.345576,323.784434,324.875926,324.885628,324.886097
2020,,,,,,,,,,,,,,,,,,,,288.014314,289.076263,289.089761,289.090106
2021,,,,,,,,,,,,,,,,,,,,,321.461833,320.723212,320.731715
2022,,,,,,,,,,,,,,,,,,,,,,327.410623,326.644297
2023,,,,,,,,,,,,,,,,,,,,,,,299.152138
