"Year","Public electricity and heat production","Food processing, beverages and tobacco","Cars","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All other Transport","All others"
1990,1.283271,0.020396,0,0.343369,11.775914,0,0.548192
1991,1.280300,0.026223,0,0.419053,13.762074,0,0.815053
1992,1.263467,0.029137,0,0.396731,12.668866,0,0.898727
1993,1.303075,0.029137,0,0.540391,12.872044,0,0.849429
1994,1.164450,0.036613,0.043306,0.584472,13.032889,0.136042,1.027569
1995,1.050920,0.033765,0.027839,0.710454,13.727872,0.091726,1.010331
1996,1.203930,0.036547,0.027606,0.869466,13.517518,0.091959,0.919194
1997,1.230071,0.042374,0,1.017809,14.620521,0,1.026809
1998,0.724810,0.049587,0.021300,1.215759,14.916462,0.056732,1.227984
1999,1.037707,0.048993,0.029899,1.399934,15.817945,0.068963,1.326928
2000,0.938689,0.063759,0.056933,1.581720,14.642910,0.117002,1.384873
2001,1.166430,0.074149,0.093248,1.726157,13.810033,0.202366,1.475305
2002,1.200096,0.157911,0.154159,1.919182,8.555567,0.275825,1.244818
2003,2.031846,0.140165,0.256946,2.059922,13.827417,0.433716,1.338403
2004,2.661599,0.140944,0.310322,2.264389,8.887727,0.458275,1.543418
2005,3.307195,0.151234,0.210576,2.356723,15.467138,0.326904,1.679213
2006,3.378488,0.150006,0.256431,2.479014,18.452676,0.342859,1.800718
2007,3.322246,0.165960,0.243466,2.529978,25.642125,0.299389,2.304446
2008,3.605529,0.238497,1.227068,2.604995,30.396323,1.030573,2.357313
2009,4.635594,0.188280,2.010349,2.906508,29.231968,1.524052,2.459214
2010,5.127573,0.258776,2.470685,4.284629,28.370105,1.919139,1.537775
2011,6.822905,1.364533,2.343769,4.234490,18.226052,1.983378,3.024735
2012,7.459404,1.375893,2.137571,4.220457,26.288697,2.088693,0.602906
2013,9.612475,2.504450,2.196461,4.542210,26.270212,1.657300,0.837391
2014,10.252934,2.758982,1.848797,4.861174,22.479136,1.397424,1.026986
2015,9.302317,2.592569,2.144673,4.877413,25.322679,1.422598,1.518657
2016,9.594323,2.569746,2.055413,5.003253,24.450789,1.129769,1.733853
2017,9.384716,2.616473,2.172147,4.919355,26.763887,1.075972,1.722448
2018,9.287282,2.593858,2.425522,4.990189,24.761173,1.393005,1.689694
2019,9.423157,2.794352,2.465038,4.974405,24.726034,1.436633,1.763369
2020,9.593512,2.794305,2.395924,4.802707,23.815602,1.671532,1.761587
2021,9.003653,2.844785,2.813026,4.785366,26.334038,1.851273,1.730408
2022,8.115300,2.774032,2.625221,4.687330,21.985376,2.083437,1.679917
2023,6.682011,2.623481,2.642257,4.759821,19.590885,2.025345,1.630098
2024,7.783091,2.638516,2.665356,4.749746,18.593037,2.137487,1.654846
