"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,-23.532477,-60.883703,-79.913736,-79.992123,-79.289246,-67.650695,-64.998047,-62.077343,-34.757758,-13.035169,-5.443024,-7.418565,-8.552150,-5.585321,-5.349287,-5.589896,-5.661992,-5.702189,-5.789828,-5.690321,-5.271306,-5.271306
1991,,-23.176104,-83.151664,-101.255467,-101.273016,-101.533599,-85.599150,-78.750892,-76.309794,-45.031608,-26.498176,-20.755542,-21.414120,-21.772771,-18.914121,-18.676652,-18.919564,-20.350556,-20.392714,-20.509286,-20.409779,-19.814519,-19.814519
1992,,-21.817325,-79.136107,-97.397290,-97.410470,-97.669484,-83.249158,-76.874989,-75.562069,-44.678725,-25.075909,-18.926056,-19.879835,-19.664837,-16.929473,-16.674406,-16.908478,-18.416739,-18.460235,-18.605739,-18.506232,-17.720519,-17.720519
1993,,-20.691919,-64.765018,-82.602512,-82.607785,-82.757835,-65.542828,-57.638470,-58.838296,-30.635479,-12.072792,-4.257276,-6.016608,-6.581014,-3.908137,-3.624218,-3.895517,-6.371986,-6.416371,-6.590805,-6.493163,-5.462984,-5.462984
1994,,-19.446034,-81.550707,-98.217344,-98.193034,-98.486565,-81.187165,-77.023936,-75.505732,-44.699278,-24.298179,-17.703013,-18.761958,-18.678939,-15.929037,-15.643886,-15.924296,-18.751198,-18.797555,-19.000918,-18.903276,-18.039472,-18.039472
1995,,-19.597851,-85.800785,-103.316979,-103.332086,-103.642991,-85.816003,-82.484795,-79.962661,-48.219526,-30.688340,-24.214832,-24.091004,-25.926514,-23.104349,-22.747970,-23.092611,-24.856610,-24.904577,-25.136869,-25.039471,-24.353335,-24.353335
1996,,-20.222326,-89.527675,-106.129732,-106.198343,-106.429552,-92.121646,-87.146265,-88.197777,-48.860186,-30.693818,-23.360299,-24.465132,-26.453059,-23.595881,-23.214529,-23.583123,-26.257888,-26.299307,-26.518257,-26.420877,-25.683026,-25.683026
1997,,-17.763937,-80.461184,-99.419762,-99.071704,-99.168336,-80.990352,-74.850843,-75.178093,-38.249649,-22.316243,-14.652919,-16.004935,-17.691450,-14.807367,-14.392604,-14.775665,-18.371660,-18.418644,-18.627204,-18.529841,-17.558947,-17.558947
1998,,-17.426154,-80.785704,-96.258953,-95.921182,-96.007973,-76.533850,-73.047994,-73.189792,-37.259458,-19.474442,-11.438303,-13.135537,-15.492140,-12.157600,-11.715729,-12.131512,-16.196207,-16.246278,-16.449430,-16.352699,-15.154004,-15.154004
1999,,-17.711926,-89.231271,-103.799355,-103.459313,-103.548698,-81.380375,-80.512384,-79.488213,-42.878758,-28.145318,-20.363783,-21.104638,-23.149706,-20.432994,-19.972605,-20.427095,-24.780165,-24.831666,-25.025369,-25.399919,-24.020803,-24.020803
2000,,-16.944661,-81.801766,-97.793276,-97.437477,-97.125637,-79.326044,-76.036260,-78.984293,-43.203661,-26.325892,-18.020266,-19.428598,-20.612328,-17.847766,-17.266167,-17.840535,-22.322249,-22.365622,-22.521988,-22.971783,-21.311848,-21.311848
