"Year","Italy","World"
1950,0.893056,2.372741
1951,1.044309,2.509281
1952,1.076656,2.496828
1953,1.181018,2.519009
1954,1.357583,2.522133
1955,1.522234,2.710743
1956,1.724569,2.829705
1957,1.789509,2.864250
1958,1.790262,2.886446
1959,1.911330,2.981084
1960,2.205334,3.109071
1961,2.496850,3.068418
1962,2.915639,3.117449
1963,3.254986,3.212604
1964,3.445662,3.313059
1965,3.683535,3.389338
1966,4.124357,3.482441
1967,4.477144,3.521091
1968,4.731620,3.638560
1969,5.087799,3.800910
1970,5.557804,4.031813
1971,5.799251,4.112250
1972,6.078987,4.219880
1973,6.497827,4.358162
1974,6.543351,4.257539
1975,6.190375,4.190445
1976,6.604129,4.342568
1977,6.368729,4.387958
1978,6.644482,4.445411
1979,6.870891,4.491730
1980,6.860227,4.385349
1981,6.638613,4.204303
1982,6.483583,4.095304
1983,6.331475,4.047822
1984,6.439412,4.114002
1985,6.514926,4.177916
1986,6.412318,4.164586
1987,6.710243,4.215461
1988,6.810591,4.303169
1989,7.136855,4.285587
1990,7.720816,4.275440
1991,7.707459,4.288762
1992,7.705638,4.101485
1993,7.565875,4.079975
1994,7.462685,4.061836
1995,7.885978,4.097368
1996,7.782954,4.164388
1997,7.879904,4.131378
1998,8.093315,4.059213
1999,8.174655,4.096031
2000,8.243402,4.148800
2001,8.240684,4.125716
2002,8.354504,4.162733
2003,8.621520,4.327484
2004,8.653300,4.421495
2005,8.614521,4.515645
2006,8.487724,4.611727
2007,8.330483,4.688505
2008,8.073151,4.708763
2009,7.119559,4.572416
2010,7.283392,4.774950
2011,7.061851,4.878259
2012,6.702781,4.887112
2013,6.125995,4.868795
2014,5.792178,4.830362
2015,5.997624,4.767311
2016,5.957294,4.713752
2017,5.877582,4.735624
2018,5.829611,4.780249
2019,5.686344,4.778430
2020,5.085706,4.479880
2021,5.671437,4.676995
2022,5.770442,4.676281
2023,5.324555,4.697341
