"Year","Coal","Natural gas","Hydro","Wind","Solar"
2016,1.663963,-3.316022,3.721902,1.211354,2.044062
2017,-5.603930,7.917140,-4.453200,-0.208821,1.616964
2018,-1.751456,-5.353638,4.286853,3.353302,3.594142
2019,-6.438639,4.337203,-3.543379,2.871486,6.352045
2020,-6.483059,-2.125838,0.604896,3.116543,5.967616
2021,-5.587459,-4.811737,1.443739,4.036996,8.408397
2022,-8.044678,2.763315,1.152687,4.025550,4.786981
2023,-3.088960,-4.783604,-1.405616,0.878208,7.577442
2024,1.871825,2.184160,-1.492930,4.148441,7.744497
