"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.933583,0.729846,1.564911
1991,4.798730,0.732327,1.582448
1992,4.695672,0.773185,1.676743
1993,4.688083,0.820398,1.810729
1994,4.663744,0.866527,1.685379
1995,4.587180,0.877589,1.857140
1996,4.805571,0.888831,1.993680
1997,4.736303,0.972537,1.966161
1998,4.806505,1.051983,2.038986
1999,4.846567,1.155559,2.312324
2000,4.741744,1.169597,2.238324
2001,4.985555,1.269436,2.382674
2002,5.054184,1.270662,2.386927
2003,5.100938,1.276016,2.476852
2004,5.228269,1.306776,2.617455
2005,5.240298,1.316976,2.761016
2006,5.332795,1.380557,2.888403
2007,5.465361,1.423193,2.943107
2008,5.392183,1.429064,2.869833
2009,5.367746,1.422683,2.743497
2010,5.492057,1.477081,2.803722
2011,5.368939,1.475722,2.857618
2012,5.374624,1.488411,2.864059
2013,5.374013,1.504702,2.893131
2014,5.436657,1.531834,3.004447
2015,5.449656,1.540021,3.009932
2016,5.297355,1.506152,2.923144
2017,4.873845,1.342040,2.641006
2018,4.892377,1.411115,2.795314
2019,4.444340,1.331404,2.694243
2020,4.135153,1.307612,2.639813
2021,4.133289,1.471944,2.834288
2022,3.986899,1.484262,2.974554
2023,3.502067,1.426446,2.853866
