"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-11.756907,0.101687,-2.758647,-0.067664,1.214164
1991,-12.789539,0.102024,-2.756977,-0.067681,1.216954
1992,-12.567075,0.102361,-2.755307,-0.067698,1.219745
1993,-14.055981,0.102697,-2.753638,-0.067715,1.222535
1994,-12.629827,0.103034,-2.751968,-0.067732,1.225325
1995,-14.997275,0.115378,-2.875005,-0.072972,1.228115
1996,-11.707390,0.199333,-2.271684,-0.079801,1.227243
1997,-15.140455,0.139038,-1.713035,-0.094299,1.228945
1998,-16.990279,0.194380,-0.944140,-0.105595,1.240736
1999,-22.863323,0.251890,0.000217,-0.117388,1.235070
2000,-21.263514,0.271979,0.523942,-0.126889,1.229403
2001,-25.343111,0.266390,0.065604,-0.127941,1.225969
2002,-26.215652,0.263027,-0.183308,-0.128186,1.225969
2003,-24.920410,0.210285,-0.570155,-0.128446,1.225969
2004,-24.501369,0.179074,-1.271152,-0.129431,1.224767
2005,-25.485024,0.071487,-1.843994,-0.134270,1.223565
2006,-20.755867,0.051361,-2.054319,-0.142166,1.225797
2007,-22.295974,0.125898,-2.368870,-0.146777,1.228030
2008,-26.837457,0.091208,-3.314700,-0.153079,1.230262
2009,-25.042383,0.004982,-4.329577,-0.158973,1.234555
2010,-26.840348,0.071193,-4.680626,-0.162285,1.237989
2011,-25.484424,-0.029623,-4.729349,-0.171210,1.237989
2012,-24.242917,-0.264007,-5.276890,-0.177976,1.242282
2013,-21.273088,-0.380803,-4.870629,-0.186777,1.242282
2014,-19.354159,-0.566288,-4.424790,-0.197737,1.242282
2015,-15.306357,-0.917926,-4.913347,-0.208135,1.242282
2016,-13.481982,-1.094634,-5.278657,-0.212743,1.242282
2017,-14.522951,-1.183642,-4.979521,-0.222449,1.240565
2018,-9.104376,-1.406121,-5.245130,-0.231176,1.238847
2019,-6.665484,-1.436341,-5.144762,-0.239088,1.238847
2020,-15.662124,-1.280420,-3.986324,-0.248365,1.247090
2021,-4.692558,-1.188795,-3.817828,-0.245444,1.264776
2022,-9.013041,-1.141983,-3.974980,-0.239585,1.242110
2023,-12.703112,-1.027934,-3.857871,-0.234370,1.242625
2024,-15.322073,-1.012605,-3.928929,-0.229527,1.243140
