"Year","Coal","Natural gas","Hydro","Wind","Solar"
2016,-0.005000,0.000999,5.043996,-0.397001,0
2017,0.040001,-0.078998,-0.456995,0.736003,0
2018,-0.010411,-0.371974,-3.387770,1.024239,0.002317
2019,-0.015713,-0.132720,-13.750570,1.646996,0.010525
2020,0.018194,-2.016308,16.323301,4.387714,0.069480
2021,0.007026,0,2.117211,1.856083,0.026617
2022,-0.031077,0,-14.934872,3.042825,0.063927
2023,-0.008374,0,8.568053,-0.844766,0.184753
2024,-0.022997,0,2.683438,0.558794,0.000000
2025,-0.018119,0,5.293496,-0.723308,0.000407
