"Year","Norway","World"
1950,0.290504,2.378669
1951,0.371600,2.515417
1952,0.354728,2.502804
1953,0.331842,2.524912
1954,0.260254,2.527846
1955,0.245502,2.716538
1956,0.295898,2.835367
1957,0.291786,2.869520
1958,0.215248,2.891263
1959,0.199506,2.985448
1960,0.292528,3.112944
1961,0.261338,3.071915
1962,0.319397,3.120748
1963,0.278608,3.215585
1964,0.311779,3.315815
1965,0.303764,3.391949
1966,0.284701,3.484861
1967,0.294052,3.523143
1968,0.221252,3.640214
1969,0.260774,3.802119
1970,0.309992,4.032570
1971,0.501804,4.112573
1972,1.458146,4.219723
1973,1.383787,4.357510
1974,1.498814,4.256543
1975,6.824807,4.189064
1976,10.035089,4.340699
1977,11.341510,4.385736
1978,19.185113,4.442845
1979,23.632733,4.488652
1980,29.527864,4.381774
1981,28.921417,4.200431
1982,29.005279,4.089858
1983,32.994510,4.041695
1984,37.083123,4.107010
1985,39.323503,4.169814
1986,41.677088,4.155600
1987,47.189304,4.206239
1988,51.518525,4.292550
1989,63.505093,4.274155
1990,66.361963,4.267059
1991,73.573225,4.280131
1992,82.103056,4.090039
1993,85.868805,4.069718
1994,95.695399,4.049402
1995,101.983573,4.084936
1996,116.224352,4.149318
1997,119.068650,4.115007
1998,95.110540,4.045553
1999,115.847281,4.079792
2000,119.816479,4.134022
2001,125.585718,4.107849
2002,127.111819,4.144854
2003,127.067178,4.307877
2004,127.277043,4.400363
2005,121.668722,4.493600
2006,115.883590,4.587465
2007,109.111943,4.663263
2008,108.772235,4.684301
2009,104.725994,4.547922
2010,99.684199,4.746574
2011,93.702266,4.848674
2012,93.966896,4.855075
2013,88.191249,4.837567
2014,87.824944,4.803209
2015,91.591277,4.738689
2016,92.156921,4.683943
2017,93.620958,4.705329
2018,89.184948,4.749810
2019,83.621750,4.748109
2020,89.099656,4.451057
2021,90.566412,4.636703
2022,90.665365,4.663224
2023,90.036172,4.684741
2024,83.561193,4.715166
