"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,34.863038,34.690227,34.414122,34.757942,34.785862,34.774457,34.791576,34.802227,34.802941,34.806138,34.833325,34.836221,35.599875,35.694824,35.704388,35.704388,35.323021,35.321326,35.332188,35.096627,34.422298,34.536452,34.545891,34.430903
1991,,,33.541095,33.185232,33.212326,33.370822,33.378661,33.379517,33.349500,33.349272,33.369026,33.376618,33.966931,34.070978,34.069334,34.069334,33.817522,33.816457,33.802860,33.535740,32.851073,32.951275,32.962062,32.861040
1992,,,33.762673,34.169515,34.193721,34.187404,34.180397,34.206679,34.157900,34.157682,34.167251,34.178646,34.738908,34.833248,34.831893,34.831893,34.736969,34.734748,34.704390,34.455991,33.684423,33.787693,33.799866,33.695765
1993,,,35.408285,35.878624,35.906755,35.902439,35.906471,35.918528,35.798069,35.798929,35.805190,35.809763,36.402285,36.520784,36.531563,36.531563,36.223815,36.224201,36.210871,36.000791,35.164851,35.268429,35.281578,35.177156
1994,,,37.265752,37.847446,37.880282,37.857128,37.880971,37.882757,37.705365,37.706304,37.718757,37.726316,38.308786,38.434765,38.445878,38.445957,38.087344,38.088992,38.092981,37.903672,37.032261,37.143589,37.157752,37.045613
1995,,,37.225245,37.774138,37.810483,37.784953,37.812681,37.804872,37.777118,37.777901,37.791066,37.788900,38.322149,38.464907,38.476689,38.477220,38.703818,38.707503,38.702734,38.508475,37.584012,37.692405,37.707217,37.597950
1996,,,40.392848,40.771320,40.807313,40.876922,40.898426,40.894666,41.023693,41.024631,41.040546,41.044851,41.440052,41.585702,41.593162,41.593834,41.823620,41.830308,41.838336,41.572049,40.634158,40.748614,40.766208,40.651098
1997,,,40.565542,40.958351,40.998455,40.990109,40.996754,41.006513,41.130575,41.131555,41.142096,41.146456,41.533466,41.682127,41.691542,41.698910,41.920472,41.969975,41.999343,41.734924,40.726465,40.836915,40.855920,40.743600
1998,41.091226,40.838281,40.774425,41.055380,41.091095,41.109927,41.116865,41.147626,41.306507,41.312302,41.369882,41.375733,41.769031,41.938032,41.947953,41.956663,42.210776,42.220229,42.225977,41.871292,40.921585,41.032282,41.051673,40.938019
1999,41.559032,41.316832,41.625570,41.915590,41.951902,41.970647,41.980502,42.008728,42.154263,42.146140,42.119607,42.120882,42.512415,42.690750,42.699662,42.709489,42.962397,42.974025,42.984711,42.637011,41.655633,41.764236,41.784041,41.673882
