"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,"NaN",-0.150000,-0.030000,"NaN","NaN","NaN","NaN"
2021,"NaN",0.110000,0.030000,"NaN","NaN","NaN","NaN"
2022,"NaN",0.210000,-0.020000,"NaN","NaN","NaN","NaN"
2023,"NaN",0.010000,0.050000,"NaN","NaN","NaN","NaN"
