"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,,,57.053255,56.737636,57.931373,58.055073,53.476719,53.495406,52.469537,52.469537,53.898805,53.284439,53.377307,53.468692,53.559268,53.169929,53.180056,53.180056,53.180056,53.180056,53.349677,53.349726
1991,,,,49.486565,49.320765,52.485458,52.609158,48.542571,48.542552,47.281950,47.281950,47.411371,46.773480,46.863444,46.956147,47.037205,46.830411,46.839555,46.839555,46.839555,46.839555,47.021352,47.021401
1992,,,,45.731292,45.574712,48.860560,48.984260,45.188914,45.189653,43.188951,43.188951,43.257709,42.588681,42.681553,42.774272,42.846711,42.692472,42.699880,42.699880,42.699880,42.699880,42.903291,42.904449
1993,,,,42.907447,42.782820,44.907018,45.030717,40.910139,40.906934,39.427197,39.427197,39.372581,38.813441,38.900500,38.991585,39.072807,38.867171,38.876506,38.876506,38.876506,38.876506,39.105522,39.101845
1994,,,,39.799567,39.687509,42.381321,42.507129,38.225865,38.221656,36.517870,36.517870,36.819938,36.176278,36.278255,36.371462,36.453051,36.474304,36.480797,36.480797,36.480797,36.480797,36.638601,36.634881
1995,,,,41.061898,40.936863,40.691569,40.815830,36.692683,36.686763,37.476771,37.476771,37.125399,36.382838,36.482152,36.573357,36.656367,36.078413,36.087581,36.087581,36.087581,36.087581,36.312805,36.309063
1996,,,,41.627523,41.493269,39.136492,39.260800,35.508262,35.500077,37.432820,37.432820,37.204531,36.500555,36.596848,36.690145,36.765014,35.747202,35.759395,35.759395,35.759395,35.759395,35.960727,35.956960
1997,,,,41.802819,41.673506,38.014091,38.103401,34.153941,34.140371,37.297952,37.297952,36.384721,36.420067,36.504634,36.590638,36.639460,35.707748,35.721076,35.721076,35.721076,35.721076,35.934989,35.931189
1998,,,,40.088742,39.896383,37.903766,38.082867,34.018601,34.002639,36.381722,36.381722,35.594299,35.037798,35.122370,35.211325,35.253523,35.106488,35.122221,35.122221,35.122221,35.122221,35.371096,35.367241
1999,,,,39.010069,38.845752,37.183178,37.307295,33.151371,33.129093,35.337470,35.337470,34.968484,34.411915,34.493757,34.586601,34.622082,34.435391,34.451099,34.451099,34.451099,34.451099,34.704312,34.698914
2000,36.260442,,,37.665820,36.124074,36.627831,36.751430,32.351597,32.371268,34.107554,34.107554,34.355678,33.607192,33.661431,33.750794,34.006797,33.710820,33.729344,33.729344,33.729344,33.729344,34.015652,34.008600
2001,38.542486,40.000152,,40.562606,38.960714,37.981063,38.083761,33.482692,33.491991,36.609417,36.609417,36.505176,35.865896,35.948926,36.040331,36.291350,35.787020,35.798886,35.798886,35.798886,35.798886,36.053118,36.044532
2002,,39.689469,,38.550829,36.953226,36.285495,36.358693,31.463401,31.468255,34.860422,34.379249,33.374448,32.868010,33.016852,33.142694,33.447599,33.457215,33.470762,33.470762,33.470762,33.470762,33.893990,33.830477
2003,,,39.928929,39.183330,37.466359,37.971266,38.032371,32.941722,32.963344,35.861616,35.088441,34.738815,33.907052,34.038709,34.169139,34.385905,34.345628,34.362816,34.362816,34.362816,34.362816,34.826213,34.758757
2004,,,,38.592937,36.321754,36.878688,36.925987,31.908643,31.903989,34.362815,34.076105,34.122558,33.370964,33.504110,33.644506,33.895633,33.779103,33.800781,33.800781,33.800781,33.800781,34.300065,34.234144
2005,,,,,36.017088,36.566890,36.603261,31.697325,31.689309,34.674822,34.239540,34.118255,33.823891,33.928124,34.089573,34.345978,34.290513,34.322106,34.322106,34.322106,34.322106,34.807576,34.737220
