"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.421640,0.316664,2.720473
1991,1.417430,0.294677,2.067881
1992,1.511756,0.265176,1.734333
1993,1.692814,0.260088,1.565678
1994,1.814440,0.262720,1.692420
1995,1.904378,0.269025,1.825554
1996,1.937180,0.265198,1.854985
1997,2.119637,0.287873,1.836233
1998,2.376422,0.392687,1.767538
1999,2.411557,0.403222,1.636754
2000,2.070205,0.477710,1.500556
2001,2.390286,0.573863,1.631172
2002,2.304592,0.695697,1.821966
2003,2.310543,0.749010,1.830923
2004,2.242783,0.856552,2.077340
2005,2.612118,1.057307,2.461737
2006,2.364577,0.821863,2.523679
2007,2.569827,1.033933,2.669036
2008,2.540872,0.956769,2.982115
2009,2.552574,0.902353,2.498143
2010,3.273644,1.029714,2.117637
2011,3.170589,1.044225,1.760637
2012,3.425834,1.061345,1.879355
2013,3.521782,0.883594,1.798352
2014,3.580073,0.833725,1.841533
2015,4.114635,0.949985,1.852195
2016,4.179976,0.897120,1.969424
2017,4.299605,0.881056,1.986052
2018,4.320875,0.864402,2.135861
2019,4.551909,0.878200,2.103111
2020,4.712250,0.877231,1.138775
2021,4.321851,0.786861,2.101432
2022,4.507407,0.863950,2.192558
2023,4.498238,0.925292,2.092350
