"Year","Slovakia","World"
1950,5.343794,2.372741
1951,5.597695,2.509281
1952,5.874945,2.496828
1953,5.975278,2.519009
1954,6.264189,2.522133
1955,6.381584,2.710743
1956,6.721648,2.829705
1957,6.894944,2.864250
1958,7.409021,2.886446
1959,7.297774,2.981084
1960,7.670073,3.109071
1961,8.204999,3.068418
1962,8.639843,3.117449
1963,9.005245,3.212604
1964,9.274935,3.313059
1965,8.948925,3.389338
1966,8.820699,3.482441
1967,8.733692,3.521091
1968,9.078307,3.638560
1969,9.578625,3.800910
1970,10.910154,4.031813
1971,11.357982,4.112250
1972,11.364829,4.219880
1973,11.302340,4.358162
1974,11.316642,4.257539
1975,11.721382,4.190445
1976,12.054666,4.342568
1977,12.292018,4.387958
1978,12.281138,4.445411
1979,11.845545,4.491730
1980,11.882184,4.385349
1981,11.663586,4.204303
1982,11.468823,4.095304
1983,11.407451,4.047822
1984,11.720689,4.114002
1985,11.492167,4.177916
1986,11.508684,4.164586
1987,11.317325,4.215461
1988,11.080286,4.303169
1989,10.533557,4.285587
1990,11.694124,4.275440
1991,10.100277,4.288762
1992,9.228345,4.101485
1993,8.717981,4.079975
1994,8.205029,4.061836
1995,8.260901,4.097368
1996,8.225973,4.164388
1997,8.227750,4.131378
1998,8.169545,4.059213
1999,8.017618,4.096031
2000,7.661180,4.148800
2001,8.049777,4.125716
2002,7.831379,4.162733
2003,7.893907,4.327484
2004,7.985250,4.421495
2005,7.984377,4.515645
2006,7.950427,4.611727
2007,7.651756,4.688505
2008,7.720888,4.708763
2009,7.014297,4.572416
2010,7.127327,4.774950
2011,7.042039,4.878259
2012,6.648449,4.887112
2013,6.578943,4.868795
2014,6.219715,4.830362
2015,6.365296,4.767311
2016,6.437396,4.713752
2017,6.649006,4.735624
2018,6.638802,4.780249
2019,6.203115,4.778430
2020,5.709372,4.479880
2021,6.464471,4.676995
2022,5.590592,4.676281
2023,5.304246,4.697341
