"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,64.533038,61.397837,8.286907,3.526838,0.213985,-8.892528
1991,54.376854,53.213620,7.865058,2.802297,0.210470,-9.714592
1992,47.768908,48.807290,6.761477,2.348481,0.195877,-10.344217
1993,44.425375,46.254334,6.187282,1.994519,0.122607,-10.133367
1994,42.438990,43.698039,5.809409,2.382584,0.122474,-9.573517
1995,43.508131,44.100494,5.809545,2.512134,0.112996,-9.027038
1996,43.448396,43.982439,5.645670,2.681829,0.074700,-8.936242
1997,43.439756,44.065493,5.362468,2.649916,0.086636,-8.724757
1998,41.634654,43.802159,5.165308,2.366734,0.092098,-9.791645
1999,41.253966,42.938327,5.144363,2.018747,0.103880,-8.951352
2000,39.374150,41.092897,4.879792,2.192901,0.129475,-8.920915
2001,42.323642,43.208795,4.752000,2.442439,0.162868,-8.242460
2002,40.530838,41.959721,4.704296,2.384668,0.203059,-8.720905
2003,41.434914,42.254898,4.672528,2.410007,0.243239,-8.145758
2004,42.089491,42.798098,4.598581,2.563201,0.283194,-8.153583
2005,46.005213,42.781608,4.612383,2.554021,0.321465,-4.264264
2006,42.837071,42.582761,4.608961,2.621289,0.382118,-7.358058
2007,41.430055,40.958943,4.419203,2.545689,0.417484,-6.911263
2008,42.916343,41.372459,4.338538,2.530943,0.492362,-5.817958
2009,38.920070,37.615176,4.147587,2.209270,0.536807,-5.588770
2010,40.723384,38.408522,4.147385,2.253416,0.617723,-4.703662
2011,39.249936,37.982474,4.085983,1.624626,0.622500,-5.065648
2012,35.801103,35.860807,3.963586,1.490641,0.652592,-6.166523
2013,34.707718,35.573101,3.913401,1.496950,0.661001,-6.936734
2014,34.883790,33.646319,3.733742,1.599881,0.659014,-4.755166
2015,35.164596,34.459601,3.799643,1.403899,0.736118,-5.234664
2016,35.640800,34.916833,3.782502,1.585589,0.669123,-5.313247
2017,36.894202,36.119498,3.784483,1.460805,0.734241,-5.204826
2018,37.719681,36.120542,3.710903,1.418856,0.701437,-4.232058
2019,34.619452,33.783401,3.648426,1.470702,0.712103,-4.995179
2020,29.732078,31.112185,3.626546,1.495552,0.677599,-7.179804
2021,33.664082,35.200362,3.581353,1.391147,0.704039,-7.212820
2022,29.613763,31.499415,3.529352,1.310019,0.502150,-7.227173
2023,28.298035,30.724057,3.424488,1.472516,0.452598,-7.775624
