"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,54.009816,19.076500,16.094805,6.816316,11.543219,0.478975,,
1991,47.633463,16.079547,14.787200,5.788357,10.566109,0.412249,,
1992,43.449053,14.080890,13.681500,5.218052,10.117323,0.351288,,
1993,39.585626,12.905295,12.899158,4.955469,8.511067,0.314636,,
1994,37.066830,12.059754,12.261322,4.757404,7.733513,0.254837,,
1995,36.704808,11.917416,11.809015,5.490923,7.208059,0.279394,,
1996,36.344297,11.930946,11.361861,5.719585,7.062233,0.269673,,
1997,36.275404,11.788165,10.993746,5.804031,7.469040,0.220422,,
1998,35.713665,11.811701,10.338580,6.103744,7.255119,0.204521,,
1999,35.028412,12.006824,9.780983,5.956158,7.116223,0.168224,,
2000,34.359762,12.342729,9.434027,5.721588,6.713596,0.147822,,
2001,36.415373,13.446416,9.493299,6.142753,7.178793,0.154112,,
2002,34.145190,12.765287,8.368902,6.157222,6.740995,0.112784,,
2003,35.093917,13.363575,9.228080,6.077545,6.308434,0.116283,,
2004,34.601329,13.054487,8.562559,6.814907,6.066783,0.102592,,
2005,35.207923,12.125377,8.576382,7.693076,6.717371,0.095718,,
2006,34.442789,11.595293,9.204286,6.841127,6.669933,0.132150,,
2007,32.944048,10.876954,8.316893,7.543392,6.096430,0.110379,,
2008,33.380648,10.926028,8.140606,7.895635,6.342690,0.075691,,
2009,30.972875,9.808941,7.710106,7.001963,6.369348,0.082516,,
2010,31.357989,9.491568,7.664183,7.421480,6.710904,0.069854,,
2011,30.866498,9.635334,8.806682,7.052641,5.289079,0.082762,,
2012,28.839388,9.238909,7.039464,6.928592,5.552345,0.080078,,
2013,28.655707,8.718493,7.181273,6.860577,5.827673,0.067690,,
2014,26.354383,7.558716,7.301807,6.607937,4.820683,0.065240,,
2015,27.137276,8.076343,6.768993,7.294171,4.933840,0.063929,,
2016,27.321795,8.021780,6.708493,7.539788,4.986004,0.065730,,
2017,28.281845,7.992432,7.134371,7.682577,5.406249,0.066216,,
2018,28.154777,7.761499,7.631544,7.808826,4.863775,0.089132,,
2019,26.669116,7.378246,6.327491,8.122829,4.756867,0.083683,,
2020,24.475870,6.752179,5.930987,7.061469,4.662121,0.069113,,
2021,27.182422,7.308612,7.032316,7.523358,5.254072,0.064064,,
2022,24.960830,6.407463,5.922852,7.778597,4.789539,0.062380,,
2023,24.281830,6.394259,5.666823,7.735536,4.419522,0.065690,,
