"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-6.501770,-0.583012,-0.273461,-0.944765,
1991,-7.882082,-0.583298,-0.267860,-0.926994,
1992,-8.685725,-0.583633,-0.263756,-0.912773,
1993,-8.658103,-0.583738,-0.257233,-0.892585,
1994,-7.691627,-0.583799,-0.240241,-0.835206,
1995,-7.134522,-0.583970,-0.198415,-0.690914,
1996,-7.082324,-0.584295,-0.189961,-0.661497,
1997,-6.640159,-0.585177,-0.187003,-0.655627,
1998,-7.458223,-0.585737,-0.178074,-0.621630,
1999,-7.178135,-0.586266,-0.171510,-0.599490,
2000,-6.649589,-0.586607,-0.108711,-0.384651,
2001,-6.636329,-0.586864,-0.100999,-0.355206,
2002,-6.701746,-0.587053,-0.097909,-0.341630,
2003,-6.185401,-0.587442,-0.098605,-0.341317,
2004,-5.358696,-0.587684,-0.095718,-0.331327,
2005,-1.022045,-0.587774,-0.091387,-0.315874,
2006,-4.028823,-0.588274,-0.068418,-0.222579,
2007,-3.756329,-0.588333,-0.065758,-0.210661,
2008,-2.560198,-0.588660,-0.060809,-0.192352,
2009,-3.099234,-0.588832,-0.046219,-0.146774,
2010,-2.119725,-0.589537,-0.044641,-0.140933,
2011,-2.717628,-0.589856,-0.043441,-0.133385,
2012,-4.818830,-0.590361,-0.044016,-0.132462,
2013,-5.336844,-0.590745,-0.045057,-0.134606,
2014,-2.871368,-0.591254,-0.047075,-0.138063,
2015,-3.252054,-0.592136,-0.050761,-0.146654,
2016,-2.975757,-0.592842,-0.052114,-0.149336,
2017,-2.908644,-0.593385,-0.049960,-0.135432,
2018,-2.189975,-0.593869,-0.049373,-0.131813,
2019,-3.202440,-0.594183,-0.047943,-0.124556,
2020,-5.872866,-0.594404,-0.047280,-0.122014,
2021,-5.614065,-0.594597,-0.046599,-0.118440,
2022,-6.241071,-0.594751,-0.046293,-0.117339,
2023,-6.255499,-0.595158,-0.045995,-0.116624,
