"archive","Coal","Oil","Gas","Cement"
200801,104.660416,,103.310353,8.391348
200802,97.642289,,90.113666,8.320146
200803,94.921644,,89.093581,9.212735
200804,93.813383,,70.451820,9.290383
200805,87.442211,,53.443024,8.777232
200806,91.227053,,49.706436,8.203016
200807,94.076879,,50.308437,9.175684
200808,86.989310,,45.812060,7.862609
200809,94.002271,,56.485555,7.933690
200810,103.460952,,68.668056,7.413432
200811,100.388802,,79.491261,6.172677
200812,102.257312,,92.975931,5.310377
200901,96.050090,122.238639,100.162842,5.452119
200902,91.526661,112.750841,86.075748,5.509540
200903,86.182634,123.519800,77.422647,7.122576
200904,76.099815,113.670393,52.382520,6.999558
200905,70.726615,108.437008,45.529493,7.113308
200906,73.790944,111.864294,44.690645,7.114395
200907,79.519845,116.547099,48.205272,7.256064
200908,73.148885,107.445241,45.731669,6.019288
200909,82.130147,116.743579,50.659691,7.259117
200910,94.949288,121.372292,67.227371,7.377273
200911,95.056638,109.710958,77.230171,6.403811
200912,95.868339,119.719480,99.804830,4.911510
201001,93.550530,107.874191,113.321506,4.768413
201002,91.917446,108.472740,96.532315,5.122577
201003,91.160252,119.527334,86.690900,6.867602
201004,80.477419,108.427964,63.075778,7.061790
201005,79.166002,109.635629,57.570417,7.242447
201006,79.090828,110.813165,45.143492,7.440028
201007,84.046445,114.743869,45.337671,7.618728
201008,84.284931,112.295048,39.155965,6.388444
201009,86.403518,116.729905,51.221040,6.983764
201010,96.827569,117.218207,66.932025,7.059800
201011,100.568718,113.938924,81.672432,6.395131
201012,101.261418,119.948989,111.280871,4.003394
201101,91.893741,105.635669,109.949921,5.740103
201102,87.662394,106.308731,95.515001,5.753204
201103,93.727346,112.801078,86.338374,7.249069
201104,85.289818,104.599220,56.109678,7.561744
201105,86.663116,106.775338,51.154684,7.412953
201106,84.942170,105.121575,45.141758,7.006454
201107,87.683845,109.232224,43.051030,6.777895
201108,91.455280,113.886458,39.498623,5.781852
201109,87.307603,112.205756,44.585867,6.228451
201110,95.141479,115.021964,58.355961,6.811537
201111,97.394635,108.388394,77.375780,5.433095
201112,96.223012,108.709887,87.122213,3.938277
201201,97.601298,102.625114,96.276354,5.767293
201202,98.747924,107.761523,106.517588,5.367924
201203,95.315558,105.226858,71.273041,6.416927
201204,86.819331,100.510416,62.525730,6.567159
201205,82.101925,105.065795,46.268375,6.469003
201206,86.483781,105.894997,41.296117,6.882679
201207,84.888165,108.505251,41.448792,6.615119
201208,84.125906,105.391206,38.286409,5.271989
201209,87.840360,102.381201,45.464750,6.658523
201210,93.663932,111.472298,58.787258,6.405559
201211,95.664344,105.601556,73.610693,5.128826
201212,94.575473,102.294971,93.296268,3.783586
201301,97.300488,98.943687,98.060594,3.914505
201302,86.066489,94.804160,89.804176,5.225367
201303,90.031638,103.257876,91.608915,5.683849
201304,82.726516,104.846521,60.117934,5.399164
201305,78.734451,105.205557,46.170508,6.128405
201306,73.592161,99.762955,39.061379,6.870902
201307,84.359893,107.947489,38.533298,6.383007
201308,84.063062,103.925540,37.315568,5.536081
201309,90.654329,101.874355,44.901079,5.926210
201310,100.236841,111.155509,50.434017,6.677153
201311,94.138890,101.291632,71.633900,5.627428
201312,96.224694,99.867276,86.683907,4.237339
201401,91.700798,97.163930,84.943267,4.116649
201402,76.057510,91.597734,71.415430,4.796005
201403,88.534800,102.713460,64.185384,5.903024
201404,76.468906,100.405683,45.555711,6.874822
201405,78.465007,99.692093,44.638742,6.709520
201406,74.993919,96.984517,37.556471,6.460076
201407,83.318901,106.620209,40.303377,6.623982
201408,76.535884,102.272971,35.914376,6.160360
201409,91.094058,105.734112,41.770186,6.101586
201410,92.885607,109.644635,51.654704,6.641283
201411,96.509530,97.411293,69.994799,6.007802
201412,92.546427,105.037360,83.847321,4.403153
201501,93.138548,101.655664,90.390194,4.093764
201502,81.699119,97.921119,83.093967,4.436105
201503,89.099608,105.122688,73.461084,6.265951
201504,78.784789,101.283794,53.588912,6.344194
201505,74.524521,97.642931,42.216515,6.577597
201506,78.423262,102.161831,37.990961,6.653973
201507,81.512672,108.594850,39.447883,6.276810
201508,81.323776,105.533284,35.923975,5.598673
201509,87.372998,108.949162,42.201719,6.415750
201510,90.710446,108.808299,59.314189,6.852675
201511,87.973428,100.183283,67.438127,6.232036
201512,90.306014,108.782308,77.414728,4.430850
201601,85.876533,98.894115,95.920330,3.971910
201602,78.962222,100.764570,78.579171,4.903179
201603,76.566489,107.380782,72.564436,5.863061
201604,71.274914,102.119587,52.984530,6.239060
201605,70.405116,101.748475,43.644737,6.607070
201606,70.800587,99.848656,38.065917,6.731933
201607,76.362404,105.484514,39.404997,6.300111
201608,75.912455,108.793706,38.174437,5.750107
201609,84.484398,106.719356,43.439812,6.299386
201610,89.674852,107.584118,62.701117,6.914837
201611,94.416250,105.481106,82.303174,5.710061
201612,90.855774,109.480697,95.360603,4.860943
201701,89.683798,103.455841,110.135863,3.550957
201702,83.099171,95.166077,80.032817,4.375527
201703,78.307811,108.242453,69.783060,5.883285
201704,72.178962,98.574427,58.061145,6.855193
201705,77.328051,106.276438,47.509972,6.888663
201706,73.590582,105.939540,41.900150,6.411688
201707,73.563511,106.598986,44.284685,6.841087
201708,76.626636,107.398899,40.619816,6.186424
201709,77.850244,106.779756,47.075870,6.609197
201710,82.289341,108.208829,57.878946,6.942576
201711,85.869133,106.138593,82.023727,6.486383
201712,82.509452,105.984555,92.844459,5.267247
201801,79.053506,99.941184,89.071572,4.079632
201802,77.061325,101.914755,95.634210,4.654086
201803,79.252686,110.120973,87.311859,5.985913
201804,68.403714,101.723105,50.672394,6.892501
201805,69.875342,103.812245,42.599998,6.688515
201806,69.545497,101.733464,41.187531,6.698967
201807,75.726581,107.064214,41.230642,6.902865
201808,75.506993,106.969309,41.002953,6.268937
201809,73.531049,101.530159,45.098373,6.584192
201810,79.969133,111.492335,58.321862,7.091745
201811,78.206706,103.762667,79.382685,6.371720
201812,77.171131,104.258983,85.418917,5.388873
201901,80.968737,107.414315,105.915596,3.987077
201902,70.832769,97.301493,82.732674,4.685167
201903,66.719959,102.616456,74.426218,6.604642
201904,61.032559,103.900694,58.025931,6.836561
201905,56.846459,102.707148,52.678681,7.076407
201906,52.363317,101.264493,40.728248,6.399084
201907,56.467381,111.672278,47.258825,6.842935
201908,54.356067,105.889580,42.193029,6.253233
201909,57.970642,104.460470,48.167814,6.420457
201910,61.837658,110.633650,60.802993,6.947264
201911,62.450739,102.083725,78.097618,6.562158
201912,59.515877,103.117423,86.625819,4.941119
202001,63.029908,101.842565,97.542694,3.923856
202002,51.883836,99.023836,79.892020,4.744805
202003,52.940407,95.931000,76.310771,5.857653
202004,40.799629,77.487398,48.068160,4.937599
202005,40.030101,85.669813,44.661507,6.306333
202006,41.358963,91.319554,42.473630,6.521913
202007,43.769472,102.271495,45.391065,6.779983
202008,47.349008,93.803277,42.889173,6.093345
202009,49.557096,97.777548,47.939126,6.351954
202010,60.734100,100.841693,62.200109,7.033647
202011,57.861460,89.733481,77.916244,6.680582
202012,62.756803,96.698228,92.800807,5.176639
202101,62.963355,84.155350,104.609914,3.692065
202102,55.392865,84.926423,85.969471,4.174706
202103,59.037525,97.931680,83.209063,6.834250
202104,51.528720,93.054281,69.206423,6.821302
202105,48.279861,94.515409,51.138719,6.558927
202106,51.404791,101.108465,42.174002,6.656401
202107,54.205118,104.445559,41.348807,7.045026
202108,54.684466,102.560718,38.267479,6.023099
202109,61.489001,104.264257,43.916721,6.377574
202110,61.076009,107.080632,58.381697,6.836970
202111,63.527024,103.906743,81.832152,6.211041
202112,71.016366,104.628062,94.756970,5.184222
202201,63.960964,95.712005,99.661659,4.159743
202202,56.018963,96.905814,79.823847,4.778023
202203,64.754790,106.331508,78.621050,6.104953
202204,56.386044,96.454605,57.898825,6.243450
202205,53.726072,100.568197,42.668315,6.596061
202206,55.661365,100.804981,39.708064,6.127273
