"YYYYMM","ISO3","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,"AUT",1.572133,2.955308,2.119534,
200802,"AUT",1.283612,2.843943,1.858809,
200803,"AUT",1.477174,2.810717,1.754315,
200804,"AUT",1.243214,2.939638,1.403718,
200805,"AUT",1.174080,3.058219,0.922861,
200806,"AUT",1.266524,3.076204,0.887689,
200807,"AUT",0.769519,2.998062,0.879918,
200808,"AUT",1.071801,2.929151,0.843621,
200809,"AUT",1.395732,3.237351,1.200302,
200810,"AUT",2.043878,3.215995,1.609997,
200811,"AUT",2.095204,2.600125,1.713060,
200812,"AUT",1.635302,2.870056,1.978027,
200901,"AUT",1.467359,3.109132,2.315375,
200902,"AUT",1.171160,2.737715,1.988129,
200903,"AUT",0.940868,3.122910,1.772394,
200904,"AUT",0.495031,2.911638,0.971345,
200905,"AUT",0.630007,2.763461,0.833498,
200906,"AUT",0.656745,2.658564,0.791268,
200907,"AUT",1.076228,2.967357,0.786887,
200908,"AUT",0.815689,2.688697,0.715570,
200909,"AUT",1.460010,2.960138,0.921219,
200910,"AUT",1.519582,3.092283,1.663583,
200911,"AUT",1.242032,2.689114,1.794706,
200912,"AUT",1.355317,2.777136,2.237893,
201001,"AUT",1.151382,2.526979,2.531670,
201002,"AUT",1.417091,2.772838,2.131596,
201003,"AUT",1.175707,3.009388,1.845090,
201004,"AUT",1.065102,2.754388,1.387928,
201005,"AUT",1.076873,2.817607,1.072902,
201006,"AUT",1.187288,2.799925,0.882913,
201007,"AUT",1.413119,2.989270,0.835162,
201008,"AUT",1.069963,2.968364,0.771274,
201009,"AUT",1.623337,3.185283,1.054381,
201010,"AUT",1.851715,3.139706,1.702141,
201011,"AUT",1.317197,2.899568,1.825350,
201012,"AUT",1.148252,3.044484,2.474328,
201101,"AUT",1.487643,2.458872,2.332632,
201102,"AUT",1.621058,2.695516,2.099557,
201103,"AUT",1.487401,2.926668,1.913790,
201104,"AUT",1.268639,2.620784,1.210084,
201105,"AUT",1.282678,2.752168,1.115469,
201106,"AUT",1.029183,2.674685,0.791344,
201107,"AUT",1.005830,2.838920,0.790937,
201108,"AUT",1.390094,3.029059,0.719899,
201109,"AUT",1.359603,3.005855,0.910453,
201110,"AUT",1.587754,3.067411,1.484814,
201111,"AUT",1.158194,2.791287,2.014159,
201112,"AUT",1.139618,2.614456,2.066814,
201201,"AUT",1.130259,2.510040,2.118914,
201202,"AUT",1.596704,2.700716,2.538244,
201203,"AUT",1.409788,2.721187,1.601246,
201204,"AUT",1.190954,2.576031,1.245783,
201205,"AUT",1.115363,2.696942,0.847058,
201206,"AUT",0.842416,2.864011,0.753456,
201207,"AUT",1.053232,2.924380,0.708486,
201208,"AUT",1.307709,2.718128,0.734023,
201209,"AUT",1.147935,2.760608,0.851599,
201210,"AUT",1.102039,3.100180,1.398515,
201211,"AUT",1.589358,2.741493,1.699731,
201212,"AUT",1.200305,2.447246,2.169890,
201301,"AUT",1.524036,2.545754,2.286039,
201302,"AUT",1.301895,2.376831,1.970653,
201303,"AUT",1.343338,2.799325,1.883591,
201304,"AUT",1.408046,2.930245,1.234868,
201305,"AUT",1.051817,2.971508,0.910955,
201306,"AUT",0.962254,2.859441,0.723219,
201307,"AUT",1.052584,2.954591,0.638651,
201308,"AUT",1.179632,2.862219,0.671860,
201309,"AUT",1.259520,2.901257,0.890112,
201310,"AUT",1.422559,3.244851,1.255063,
201311,"AUT",1.312796,2.641982,1.647787,
201312,"AUT",1.140538,2.486346,1.997080,
201401,"AUT",1.268105,2.470070,1.953152,
201402,"AUT",1.097541,2.296044,1.639727,
201403,"AUT",1.061666,2.692769,1.553586,
201404,"AUT",1.074343,2.757817,0.966667,
