"YYYYMM","Coal","Oil","Gas","Cement"
200801,104.661601,,103.311770,8.391347
200802,97.643393,,90.114902,8.320146
200803,94.922718,,89.094803,9.212735
200804,93.814445,,70.452787,9.290382
200805,87.443201,,53.443757,8.777232
200806,91.228085,,49.707118,8.203016
200807,94.077944,,50.309128,9.175684
200808,86.990294,,45.812689,7.862608
200809,94.003334,,56.486330,7.933690
200810,103.462122,,68.668998,7.413432
200811,100.389938,,79.492352,6.172677
200812,102.258469,,92.977207,5.310377
200901,96.050570,122.365256,100.164907,5.452119
200902,91.527118,112.867630,86.077523,5.509541
200903,86.183065,123.647743,77.424243,7.122576
200904,76.100195,113.788135,52.383599,6.999558
200905,70.726968,108.549328,45.530432,7.113308
200906,73.791313,111.980164,44.691567,7.114396
200907,79.520243,116.667820,48.206265,7.256064
200908,73.149250,107.556534,45.732612,6.019288
200909,82.130557,116.864503,50.660735,7.259117
200910,94.949762,121.498011,67.228757,7.377273
200911,95.057113,109.824598,77.231763,6.403811
200912,95.868817,119.843487,99.806887,4.911510
201001,93.552624,107.981672,113.315980,4.768413
201002,91.919505,108.580818,96.527608,5.122576
201003,91.162293,119.646426,86.686673,6.867602
201004,80.479221,108.535997,63.072703,7.061790
201005,79.167775,109.744865,57.567610,7.242447
201006,79.092599,110.923574,45.141290,7.440028
201007,84.048327,114.858195,45.335460,7.618728
201008,84.286818,112.406934,39.154056,6.388443
201009,86.405452,116.846210,51.218543,6.983764
201010,96.829737,117.334998,66.928762,7.059800
201011,100.570970,114.052448,81.668450,6.395130
201012,101.263685,120.068501,111.275444,4.003394
201101,91.896037,105.729563,109.948254,5.740103
201102,87.664585,106.403224,95.513554,5.753204
201103,93.729689,112.901342,86.337066,7.249069
201104,85.291949,104.692193,56.108827,7.561745
201105,86.665282,106.870245,51.153909,7.412953
201106,84.944293,105.215013,45.141074,7.006455
201107,87.686037,109.329315,43.050378,6.777896
201108,91.457565,113.987687,39.498025,5.781852
201109,87.309785,112.305491,44.585191,6.228452
201110,95.143857,115.124202,58.355077,6.811537
201111,97.397069,108.484736,77.374607,5.433096
201112,96.225417,108.806514,87.120893,3.938277
201201,97.600766,102.721420,96.274089,5.767293
201202,98.747386,107.862649,106.515083,5.367923
201203,95.315039,105.325605,71.271365,6.416927
201204,86.818858,100.604737,62.524259,6.567159
201205,82.101478,105.164391,46.267287,6.469002
201206,86.483310,105.994371,41.295146,6.882679
201207,84.887702,108.607074,41.447817,6.615119
201208,84.125447,105.490108,38.285509,5.271989
201209,87.839881,102.477278,45.463681,6.658523
201210,93.663422,111.576906,58.785876,6.405559
201211,95.663822,105.700655,73.608962,5.128825
201212,94.574957,102.390966,93.294050,3.783586
201301,97.306617,99.013876,98.056333,3.914505
201302,86.071911,94.871413,89.800274,5.225367
201303,90.037309,103.331125,91.604934,5.683849
201304,82.731727,104.920898,60.115321,5.399164
201305,78.739411,105.280189,46.168502,6.128405
201306,73.596797,99.833725,39.059682,6.870903
201307,84.365207,108.024066,38.531623,6.383008
201308,84.068357,103.999263,37.313946,5.536081
201309,90.660039,101.946623,44.899128,5.926210
201310,100.243155,111.234361,50.431825,6.677153
201311,94.144820,101.363487,71.630787,5.627428
201312,96.230755,99.938120,86.680140,4.237339
