"YYYYMM","Coal","Oil","Gas","Cement"
200801,104.607679,,103.294721,7.726337
200802,97.593087,,90.100031,7.829733
200803,94.873814,,89.080100,8.821542
200804,93.766111,,70.441160,9.145604
200805,87.398150,,53.434938,9.042189
200806,91.181084,,49.698915,8.705071
200807,94.029475,,50.300825,9.355513
200808,86.945477,,45.805129,7.102333
200809,93.954904,,56.477008,8.078945
200810,103.408819,,68.657666,8.127553
200811,100.338217,,79.479234,6.800584
200812,102.205785,,92.961863,5.327924
200901,96.012910,122.319285,100.146283,5.288559
200902,91.491232,112.825227,86.061518,5.237407
200903,86.149273,123.601290,77.409847,7.258997
200904,76.070357,113.745386,52.373859,6.867829
200905,70.699237,108.508548,45.521966,7.562698
200906,73.762380,111.938095,44.683257,7.269736
200907,79.489064,116.623990,48.197302,7.791163
200908,73.120569,107.516127,45.724109,5.817776
200909,82.098355,116.820599,50.651315,7.106522
200910,94.912534,121.452366,67.216257,7.364813
200911,95.019842,109.783338,77.217402,6.404842
200912,95.831228,119.798463,99.788330,4.568218
201001,93.520907,107.945674,113.308675,4.559173
201002,91.888341,108.544620,96.521385,4.958567
201003,91.131385,119.606540,86.681085,6.706618
201004,80.451935,108.499814,63.068637,7.068870
201005,79.140934,109.708279,57.563898,7.283393
201006,79.065783,110.886596,45.138380,7.630569
201007,84.019832,114.819904,45.332538,8.151350
201008,84.258242,112.369460,39.151531,5.939976
201009,86.376158,116.807256,51.215241,7.115348
201010,96.796909,117.295882,66.924447,7.268690
201011,100.536873,114.014426,81.663185,6.304064
201012,101.229353,120.028473,111.268271,3.965498
201101,91.859536,105.698128,109.956345,5.373598
201102,87.629764,106.372088,95.520583,5.667625
201103,93.692459,112.869069,86.343419,6.971923
201104,85.258071,104.662424,56.112956,7.341385
201105,86.630858,106.839526,51.157673,7.752430
201106,84.910553,105.184710,45.144396,7.016913
201107,87.651208,109.297571,43.053546,7.104833
201108,91.421238,113.954462,39.500932,5.360410
201109,87.275105,112.272770,44.588472,6.393705
201110,95.106065,115.090222,58.359371,6.963584
201111,97.358383,108.453052,77.380301,5.629795
201112,96.187196,108.773346,87.127304,4.118439
201201,97.566158,102.740150,96.304738,5.057068
201202,98.712370,107.881384,106.548992,4.997905
201203,95.281240,105.344513,71.294054,6.701375
201204,86.788072,100.622907,62.544164,6.397266
201205,82.072365,105.183615,46.282016,6.649554
201206,86.452643,106.013531,41.308292,7.011335
201207,84.857601,108.626661,41.461012,7.057643
201208,84.095617,105.508811,38.297697,5.154693
201209,87.808734,102.495499,45.478154,6.631462
201210,93.630209,111.596522,58.804590,6.478416
201211,95.629900,105.719035,73.632395,5.294708
201212,94.541421,102.408532,93.323774,3.903158
201301,97.278303,99.075750,98.073116,3.753156
201302,86.046865,94.932087,89.815644,4.636048
