"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2016,0.020000,"NaN",0.010000,"NaN","NaN","NaN","NaN"
2017,0,"NaN",-0.050000,"NaN","NaN","NaN","NaN"
2018,0,"NaN",0.140000,"NaN","NaN","NaN","NaN"
2019,-0.040000,"NaN",0.140000,"NaN",0.020000,"NaN","NaN"
2020,0.040000,"NaN",-0.110000,"NaN",0,"NaN","NaN"
2021,0,"NaN",0.020000,"NaN",0,"NaN","NaN"
2022,0.010000,"NaN",0.090000,"NaN",-0.020000,"NaN","NaN"
2023,-0.010000,"NaN",-0.050000,"NaN",0.010000,"NaN","NaN"
2024,0,"NaN",-0.060000,"NaN",0,"NaN","NaN"
