"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,3.917599,-0.079282,-0.020731,0,
1991,-2.011683,-0.101835,-0.025049,-0.122890,
1992,5.651834,-0.201640,-0.031775,-0.122890,
1993,0.605902,-0.180060,-0.029344,-0.122890,
1994,-0.248091,-0.158738,-0.033003,-0.122890,
1995,-3.653547,-0.150097,-0.035414,-0.122890,
1996,-1.671213,-0.149540,-0.037492,-0.139277,
1997,-2.210838,-0.152647,-0.039504,-0.139277,
1998,-3.833704,-0.166158,0.013744,-0.139277,
1999,-5.407018,-0.132294,0.002587,-0.139277,
2000,-5.474701,-0.207424,0.009847,-0.139277,
2001,-5.224415,-0.205472,-0.033842,-0.139277,
2002,-4.518147,-0.197134,-0.034762,-0.069766,
2003,-4.928743,-0.204050,-0.033329,-0.069766,
2004,-3.608822,-0.203297,-0.034444,-0.069766,
2005,-4.016768,-0.259246,-0.040763,-0.069766,
2006,-3.836929,-0.266989,-0.040042,-0.069766,
2007,-2.590675,-0.268718,-0.040414,-0.069766,
2008,-3.721482,-0.273955,-0.008698,-0.069766,
2009,-2.702317,-0.286864,-0.010081,-0.069766,
2010,-3.502457,-0.304173,-0.008805,-0.069766,
2011,-3.993111,-0.305138,-0.011751,-0.039061,
2012,-2.569958,-0.250443,0.029499,-0.039061,
2013,-1.880558,-0.357136,0.026879,-0.039061,
2014,-4.338194,-0.455377,-0.108460,-0.039061,
2015,-3.465827,-0.452459,-0.118580,-0.039061,
2016,-3.244504,-0.428850,-0.073778,-0.116372,
2017,-4.185625,-0.415576,-0.071327,-0.116372,
2018,-2.941717,-0.416324,-0.062607,-0.116372,
2019,-3.228806,-0.406270,-0.062530,-0.116372,
2020,-3.959126,-0.382188,-0.050701,-0.116372,
2021,-3.718116,-0.373194,-0.049469,-0.116372,
