"Year","Costa Rica","World"
1950,0.308791,2.378734
1951,0.325755,2.515504
1952,0.391598,2.502896
1953,0.420983,2.524970
1954,0.382198,2.527923
1955,0.315562,2.716614
1956,0.422826,2.835461
1957,0.389054,2.869636
1958,0.362963,2.891376
1959,0.300894,2.985590
1960,0.369851,3.112931
1961,0.356317,3.071906
1962,0.384485,3.120741
1963,0.405571,3.215595
1964,0.439423,3.315825
1965,0.533290,3.391959
1966,0.605860,3.484865
1967,0.518046,3.523155
1968,0.595711,3.640223
1969,0.640582,3.802135
1970,0.679019,4.032588
1971,0.808575,4.112597
1972,0.908715,4.219747
1973,1.027696,4.355556
1974,0.933541,4.253289
1975,0.972824,4.173319
1976,0.969239,4.310191
1977,1.182337,4.352449
1978,1.285678,4.432504
1979,1.194977,4.465701
1980,1.023711,4.364099
1981,0.909805,4.168842
1982,0.819620,4.060496
1983,0.804401,4.023942
1984,0.741939,4.068703
1985,0.817125,4.137420
1986,0.914029,4.122175
1987,0.940633,4.179654
1988,0.978034,4.262697
1989,0.962538,4.241189
1990,0.931912,4.266701
1991,1.025072,4.282473
1992,1.137340,4.090168
1993,1.152658,4.068620
1994,1.503311,4.047994
1995,1.354561,4.083544
1996,1.291350,4.148108
1997,1.323720,4.114970
1998,1.378266,4.044522
1999,1.402195,4.079117
2000,1.363024,4.133621
2001,1.406330,4.107635
2002,1.524725,4.144280
2003,1.582837,4.307030
2004,1.618261,4.399256
2005,1.562828,4.493561
2006,1.614332,4.585831
2007,1.805075,4.661509
2008,1.786942,4.682571
2009,1.709662,4.545518
2010,1.637680,4.744937
2011,1.578448,4.848876
2012,1.547360,4.854014
2013,1.607996,4.837742
2014,1.615624,4.804597
2015,1.526104,4.739116
2016,1.608577,4.682487
2017,1.625584,4.705259
2018,1.606956,4.752195
2019,1.532216,4.747814
2020,1.341605,4.457744
2021,1.514912,4.634748
2022,1.576251,4.678452
2023,1.659482,4.707772
2024,1.707720,4.729075
