"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,"NaN",0.010000,-0.010000,"NaN","NaN","NaN","NaN"
2016,"NaN",0.170000,0.070000,"NaN","NaN","NaN","NaN"
2017,"NaN",-0.110000,0,"NaN",0,"NaN","NaN"
2018,"NaN",-0.120000,0.020000,"NaN",0,"NaN","NaN"
2019,"NaN",0.190000,-0.150000,"NaN",0,"NaN","NaN"
2020,"NaN",0.020000,-0.110000,"NaN",0,"NaN","NaN"
2021,"NaN",0.020000,0.250000,"NaN",0,"NaN","NaN"
2022,"NaN",0.190000,-0.270000,"NaN",0,"NaN","NaN"
2023,"NaN",-0.310000,0.360000,"NaN",0,"NaN","NaN"
2024,"NaN",0.030000,-0.220000,"NaN",0,"NaN","NaN"
