"Year","Manufacturing industries and construction","Residential: Stationary combustion","All others"
1994,1.179366,2.254350,0
2000,0,1.723167,0
2006,1.200512,1.485653,0
2010,0.884741,1.272971,0
2012,1.065308,1.173999,0.007971
2014,1.335671,1.102796,0.014162
2016,1.412416,0.967192,0.048007
2018,1.362599,0.905848,0.102191
2020,1.401013,0.822631,0.155222
2021,1.250291,0.776296,0.141566
2022,1.019352,0.728020,0.113116
