"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.698438,,
1991,1.601434,,
1992,1.915394,,
1993,2.379751,,
1994,2.682093,,
1995,3.055416,,
1996,3.083326,,
1997,3.447188,,
1998,3.615543,,
1999,3.616121,,
2000,2.893863,,
2001,3.085220,,
2002,3.263595,,
2003,3.483035,,
2004,3.470612,,
2005,3.134048,,
2006,3.312780,,
2007,3.159773,,
2008,3.747829,,
2009,3.901616,,
2010,4.392552,,
2011,4.650984,,
2012,4.400206,,
2013,4.719582,,
2014,4.952832,,
2015,5.447404,,
2016,6.372934,,
2017,7.230026,,
2018,7.601388,,
2019,7.360874,,
2020,6.594277,,
2021,7.515313,,
