"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-19.993100,36.026400,10.450800,0.003500,0.692600,0,0,0
1991,-18.712500,35.891500,10.450800,0.003500,0.692600,0,0,0
1992,-21.235200,36.021000,10.450800,0.003500,0.692600,0,0,0
1993,-21.035953,36.211635,10.450800,0.003500,0.692600,0,0,0
1994,-21.553556,36.295621,10.450800,0.003500,0.692600,0,0,0
1995,-19.256100,36.372056,10.450800,0.003500,0.692600,0,0,0
1996,-16.777719,36.355428,10.450800,0.003500,0.692600,0,0,0
1997,-17.340903,36.513126,10.450831,0.003500,0.692600,0,0,0
1998,-21.860120,37.410094,10.450831,0.003500,0.692600,0,0,0
1999,-24.478515,37.724493,10.450831,0.003500,0.692600,0,0,0
2000,-25.287994,31.390968,12.559004,0.003800,0.806822,0,0,0
2001,-24.440492,31.296174,12.559004,0.003800,0.806822,0,0,0
2002,-25.503725,31.877399,12.559004,0.003800,0.806822,0,0,0
2003,-24.325780,31.630245,12.559004,0.003800,0.806822,0,0,0
2004,-23.149148,31.472559,12.559004,0.003800,0.806822,0,0,0
2005,-21.614840,31.499868,12.559004,0.003800,0.806822,0,0,0
2006,-25.382923,31.687428,36.783775,0.070515,2.275394,0,0,0
2007,-23.606594,31.729367,36.783775,0.070515,2.275394,0,0,0
2008,-23.655469,29.974750,36.783775,0.070515,2.275394,0,0,0
2009,-23.149956,30.097073,36.783775,0.070515,2.275394,0,0,0
2010,-22.355632,30.637818,36.783775,0.070515,2.275394,0,0,0
2011,-22.451314,30.220722,36.783775,0.070515,2.275394,0,0,0
2012,-21.562117,24.592788,30.498921,0.013222,1.499176,0.457904,0,0
2013,-20.930648,23.629250,30.498900,0.013200,1.499200,0.470200,0,0
2014,-22.535570,21.872140,39.659155,0,1.020370,0.815255,0,0
2015,-21.319160,21.175436,39.659155,0,1.020370,0.836472,0,0
2016,-23.246359,15.808870,28.866489,0,0.758691,1.042829,0,0
2017,-23.007779,14.219598,28.866489,0,0.758691,1.068417,0,0
2018,-23.389803,16.836484,25.771488,0,0.653800,2.008700,0,0
2019,-23.033961,17.107949,25.771488,0,0.653800,2.056940,0,0
2020,-23.031729,11.757010,20.630607,0,0.528070,1.340413,0,0
2021,-21.521511,-0.731244,26.123842,0,0.584785,0.243505,0,0
