"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-44.535746,24.589316,-0.025528,,-0.006611,
1991,-44.081935,25.416569,-0.026651,,-0.006906,
1992,-43.628125,22.443354,-0.027773,,-0.007197,
1993,-43.210636,22.228332,-0.030458,,-0.007892,
1994,-42.793146,21.296976,-0.033142,,-0.008588,
1995,-42.428748,23.234639,-0.038111,,-0.009875,
1996,-42.269667,25.565980,-0.049219,,-0.012611,
1997,-43.597161,26.425158,-0.124332,,-0.031957,
1998,-45.860985,24.310657,-0.235142,,-0.058753,
1999,-45.512427,21.349599,-0.238348,,-0.059536,
2000,-46.491231,21.555904,-0.267271,,-0.067005,
2001,-46.010188,21.919145,-0.265205,,-0.066470,
2002,-45.449797,20.289396,-0.259725,,-0.065051,
2003,-44.873698,20.883247,-0.253941,,-0.063695,
2004,-43.717892,20.863742,-0.222649,,-0.055514,
2005,-42.001185,20.617796,-0.171742,,-0.043988,
2006,-43.842686,18.813555,-0.268214,,-0.067118,
2007,-42.647040,19.358904,-0.241178,,-0.060112,
2008,-42.746851,19.445956,-0.269845,,-0.067525,
2009,-42.332915,19.545426,-0.276415,,-0.069216,
2010,-41.767680,19.774143,-0.276561,,-0.069275,
2011,-41.241818,19.154201,-0.277649,,-0.069720,
2012,-40.067578,18.833561,-0.249858,,-0.062560,
2013,-38.289505,17.625775,-0.200310,,-0.051386,
2014,-40.343246,18.198656,-0.299398,,-0.075193,
2015,-39.114881,18.146549,-0.268210,,-0.067112,
2016,-39.495066,16.610917,-0.276042,,-0.069262,
2017,-39.687556,16.956567,-0.208236,,-0.051821,
2018,-39.780832,16.522499,-0.091094,,-0.023364,
2019,-38.966843,16.044660,-0.075588,,-0.019438,
2020,-38.464244,15.521390,-0.057323,,-0.014801,
2021,-36.603101,15.183093,-0.068317,,-0.017534,
