"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,622.217457,286.572464,245.284837
1991,597.386792,299.120843,238.126286
1992,600.511946,326.190375,250.514153
1993,593.444785,348.867604,265.407416
1994,585.213156,371.583656,281.676294
1995,576.833458,394.571036,291.492644
1996,573.484911,422.052448,303.469245
1997,563.407265,445.799637,316.980974
1998,562.426778,477.852508,329.985914
1999,561.944471,512.519240,347.932980
2000,555.333210,529.595905,360.777484
2001,547.142449,541.035717,358.515305
2002,550.886590,563.970649,369.932278
2003,550.797650,584.334344,377.394883
2004,538.192905,607.179925,388.360500
2005,521.104738,613.795961,403.098009
2006,503.038903,622.858378,413.181798
2007,495.380776,624.788687,415.393871
2008,468.731297,586.263608,397.975190
2009,467.369138,588.146055,357.835312
2010,459.081139,588.770679,368.503745
2011,427.857905,601.670079,362.422435
2012,375.712453,650.356938,362.227390
2013,383.219818,637.920551,368.429911
2014,395.862645,662.087016,384.404246
2015,387.051186,664.370811,391.472301
2016,389.643152,684.647510,395.694361
2017,378.196860,692.429314,409.901902
2018,385.330113,698.725244,421.617506
2019,382.725795,689.752954,424.475702
2020,330.562852,595.810660,400.710063
2021,363.225589,653.191243,432.703763
2022,358.656149,643.241423,428.792904
