"Year","USA","World"
1950,15.023781,2.378734
1951,16.078380,2.515504
1952,15.261791,2.502896
1953,15.131890,2.524970
1954,14.079438,2.527923
1955,15.383245,2.716614
1956,16.157934,2.835461
1957,15.984427,2.869636
1958,14.484067,2.891376
1959,14.715800,2.985590
1960,14.703689,3.112931
1961,14.440681,3.071906
1962,14.688467,3.120741
1963,15.311257,3.215595
1964,15.677996,3.315825
1965,15.966226,3.391959
1966,16.631895,3.484865
1967,17.265165,3.523155
1968,17.499202,3.640223
1969,17.958213,3.802135
1970,18.735512,4.032588
1971,18.022289,4.112597
1972,18.242153,4.219747
1973,17.851397,4.355556
1974,17.252188,4.253289
1975,16.862111,4.173319
1976,16.792212,4.310191
1977,16.812211,4.352449
1978,16.649005,4.432504
1979,17.529237,4.465701
1980,17.830143,4.364099
1981,17.606963,4.168842
1982,17.248209,4.060496
1983,16.172838,4.023942
1984,17.438290,4.068703
1985,16.925894,4.137420
1986,16.556022,4.122175
1987,16.600196,4.179654
1988,16.678923,4.262697
1989,16.472639,4.241189
1990,16.672119,4.266701
1991,16.210880,4.282473
1992,15.958218,4.090168
1993,15.162284,4.068620
1994,15.703952,4.047994
1995,15.425694,4.083544
1996,15.536527,4.148108
1997,15.553015,4.114970
1998,15.572603,4.044522
1999,14.965427,4.079117
2000,14.645860,4.133621
2001,14.829795,4.107635
2002,14.252585,4.144280
2003,13.863059,4.307030
2004,13.799026,4.399256
2005,13.519728,4.493561
2006,13.610790,4.585831
2007,13.515462,4.661509
2008,13.617889,4.682571
2009,13.069768,4.545518
2010,13.273595,4.744937
2011,13.584329,4.848876
2012,13.634179,4.854014
2013,13.819778,4.837742
2014,14.732333,4.804597
2015,14.511721,4.739116
2016,13.168149,4.682487
2017,13.700749,4.705259
2018,14.870531,4.752195
2019,15.632165,4.747814
2020,14.250779,4.457744
2021,14.615449,4.634748
2022,15.344350,4.678452
2023,15.942411,4.707772
2024,15.769825,4.729075
