"Year","Coal","Oil","Gas","Cement","Flaring"
2000,228.826770,52.815203,21.837967,6.114182,3.374995
2001,226.152070,52.748579,22.634688,4.956938,2.862221
2002,219.897194,52.144807,22.422079,4.670148,3.003891
2003,226.405784,55.606095,24.832391,4.565827,3.555669
2004,226.423710,58.806873,26.562933,5.070056,2.703582
2005,222.637677,60.416486,27.401471,5.057142,3.376223
2006,232.308065,63.006967,27.630399,5.983742,3.967246
2007,227.707322,65.993056,27.910751,7.050407,3.603368
2008,220.472084,67.206668,28.134362,6.692993,3.567565
2009,209.073544,67.906152,27.273371,5.757238,2.865049
2010,220.927198,70.840483,29.134709,6.221494,3.481579
2011,218.378981,70.505301,29.325030,7.379394,4.015051
2012,214.039885,67.243809,30.558481,6.384301,4.204736
2013,214.314382,62.552622,30.804007,5.874228,4.791532
2014,202.997324,62.260020,29.463571,6.456416,4.692011
2015,201.647484,65.674174,30.634010,6.341808,4.737093
2016,202.098996,73.949025,32.419604,6.529685,4.542970
2017,203.597988,83.546700,34.129784,6.996488,4.652539
2018,198.803708,86.564000,34.283403,7.655328,4.849149
2019,178.995592,88.130669,35.490789,7.692452,4.344176
2020,160.834185,85.228164,36.626494,7.692452,4.344176
