"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.319261,1.294327,0.558946,0.481570,0.004600,0.005840
2001,0.304108,1.314131,0.552154,0.460480,0.004381,0.006299
2002,0.260699,1.319628,0.569971,0.467489,0.003554,0.007680
2003,0.252177,1.394696,0.607197,0.464679,0.002423,0.009268
2004,0.234556,1.411638,0.618768,0.461066,0.003089,0.011499
2005,0.215517,1.403951,0.608165,0.460888,0.002789,0.017605
2006,0.212676,1.399474,0.626000,0.448848,0.003455,0.024952
2007,0.194352,1.413465,0.630685,0.461171,0.003720,0.029615
2008,0.191938,1.482629,0.626452,0.433038,0.003896,0.038088
2009,0.123642,1.333965,0.632666,0.445986,0.003098,0.053761
2010,0.156962,1.382174,0.698544,0.450027,0.002929,0.072925
2011,0.147776,1.293897,0.594864,0.449988,0.001829,0.091049
2012,0.139186,1.244552,0.602640,0.373645,0.003310,0.108213
2013,0.147267,1.281283,0.595188,0.393044,0.003502,0.118474
2014,0.140419,1.259590,0.520668,0.308776,0.002705,0.126994
2015,0.141194,1.299985,0.570596,0.237724,0.002900,0.140065
2016,0.133800,1.319971,0.582811,0.394025,0.003350,0.144781
2017,0.130743,1.342435,0.590814,0.380041,0.002431,0.160018
2018,0.129975,1.420823,0.607468,0.255868,0.002805,0.170108
2019,0.130168,1.329950,0.625806,0.387986,0.002692,0.190788
2020,0.107570,0.930792,0.611934,0.305135,0.002504,0.232904
