"Year","Coal","Oil","Gas","Cement","Flaring"
2000,122.877643,31.627561,123.973075,2.261373,2.146593
2001,131.830616,33.993691,130.104068,2.474660,2.191337
2002,136.227927,35.367852,116.057539,2.817473,2.178162
2003,132.443716,37.268124,128.058238,3.612127,2.378680
2004,135.323400,36.560963,128.054363,4.264070,2.572759
2005,135.905472,36.310081,129.900203,4.785321,2.471856
2006,154.040453,40.565077,126.290064,5.484277,2.489549
2007,161.469315,43.133052,118.976501,6.164170,2.618059
2008,154.640032,43.887102,114.356227,6.293777,2.696205
2009,136.610681,42.689904,89.682260,2.590089,2.646577
2010,145.421074,39.808186,100.188028,2.881962,2.617715
2011,153.853422,39.770937,103.812444,3.901123,2.678687
2012,158.981373,38.465607,96.823063,3.281461,2.548714
2013,160.185116,37.338756,90.249973,3.396788,2.529373
2014,138.372712,35.338581,75.134189,3.299186,2.493745
2015,119.392929,30.487397,65.547238,3.277520,2.382325
2016,126.828000,34.121100,64.148539,3.622848,2.372986
2017,112.586361,35.340085,66.655074,3.543391,2.303937
2018,120.924922,35.191975,66.991888,3.718730,2.399314
2019,114.425472,38.481517,60.541557,4.078520,2.355091
2020,104.559331,37.449927,62.768838,4.078520,2.355091
