"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.036400,1.165534,0.693000,0,0.141780,0.000807
2001,0.032021,1.100644,0.848925,0,0.143199,0.001787
2002,0.034352,1.087811,0.918225,0,0.138139,0.002107
2003,0.035619,1.125087,1.029105,0,0.126902,0.002815
2004,0.036405,1.082368,1.098405,0,0.125046,0.004922
2005,0.035619,1.257518,1.094940,0,0.122439,0.004949
2006,0.035638,1.196978,1.264725,0,0.123021,0.005832
2007,0.032397,1.282699,1.329174,0,0.135955,0.006346
2008,0.029154,1.344418,1.415106,0,0.143459,0.008850
2009,0.025912,1.446339,1.474011,0,0.130074,0.009816
2010,0.019427,1.524582,1.563062,0,0.121597,0.013463
2011,0.018455,1.427772,1.719333,0,0.121187,0.016227
2012,0.016351,1.492769,1.822936,0,0.120800,0.017066
2013,0.016154,1.513269,1.782050,0,0.121999,0.014766
2014,0.016287,1.626617,1.663875,0,0.124480,0.010698
2015,0.033549,1.684846,1.656676,0,0.124618,0.017636
2016,0.051012,1.723592,1.776748,0,0.119480,0.023813
2017,0.050226,1.595260,2.013629,0,0.115092,0.024409
2018,0.089883,1.471983,2.145406,0,0.114639,0.031677
2019,0.082587,1.481990,2.122034,0,0.117792,0.057664
2020,0.031409,1.331922,2.080948,0,0.116696,0.086017
