"Year","Coal","Oil","Gas","Cement","Flaring"
2000,425.032092,317.318002,681.432377,15.112577,18.254512
2001,443.552879,323.090661,693.013366,15.862541,18.749388
2002,422.074398,314.440788,702.371736,17.116161,26.426690
2003,423.654928,308.253748,734.919231,18.666297,26.353749
2004,413.793492,308.719743,742.806465,20.915348,30.154282
2005,414.913294,319.019961,745.182869,22.256030,31.556250
2006,434.371679,334.100059,765.525718,24.544564,32.041052
2007,419.410616,324.906344,777.797181,27.644836,38.385394
2008,448.428418,342.160792,778.187257,23.625365,28.059606
2009,415.649613,321.193282,730.871779,19.746372,29.271365
2010,415.282389,331.844462,792.563304,22.722614,36.249929
2011,426.382471,344.117271,815.661184,25.128527,38.945280
2012,441.256620,351.771385,804.975624,26.331668,39.948740
2013,403.814330,354.646137,780.453844,27.281460,36.979299
2014,392.612970,384.603806,772.753422,26.453326,29.475303
2015,412.579963,407.459359,737.455339,23.171307,25.536514
2016,400.712725,402.643226,751.164410,20.432102,27.888572
2017,383.255801,415.110297,779.289873,20.512221,32.029887
2018,394.979110,393.248003,828.222514,20.090711,37.505808
2019,388.867678,399.335531,807.420644,20.306193,46.762006
2020,356.945515,388.774194,747.590858,20.306193,46.762006
