"Year","Coal","Oil","Gas","Cement","Flaring"
2000,15.657394,25.350095,10.639993,1.385260,0.723517
2001,16.557831,25.589789,11.104576,1.387852,0.771012
2002,16.537388,25.302562,11.096408,1.416300,0.674247
2003,22.573276,24.375672,11.214438,1.329911,0.669978
2004,17.281043,24.048473,11.153815,1.458926,0.752426
2005,14.601613,23.856949,10.690007,1.363377,0.548062
2006,22.004208,24.172989,10.882030,1.395466,0.531303
2007,18.420200,24.116961,9.738084,1.407086,0.543678
2008,16.137481,23.276635,9.826361,1.154749,0.386848
2009,15.786335,22.258153,9.411788,0.764407,0.261266
2010,15.351440,21.911515,10.569318,0.672224,0.352984
2011,12.915848,20.880881,8.983269,0.861805,0.251872
2012,10.079072,19.920289,8.413956,0.871083,0.217361
2013,12.755622,19.546371,7.939415,0.867063,0.243591
2014,10.144110,19.050020,6.816171,0.887302,0.249950
2015,7.243307,19.559474,6.907231,0.931502,0.247467
2016,8.414050,19.841657,7.012273,1.095455,0.273340
2017,6.253661,19.995917,6.678513,1.193741,0.240246
2018,6.359228,20.041731,6.476056,1.159742,0.232441
2019,3.588211,19.644654,6.012277,1.129199,0.194669
2020,3.082566,16.638495,4.821731,1.129199,0.194669
