"Year","Coal","Oil","Gas","Cement","Flaring"
2000,163.883136,206.777990,40.205200,24.755890,0
2001,174.625609,206.697440,44.163024,25.665290,0
2002,187.636519,207.840776,49.068185,27.107070,0
2003,195.319077,206.115903,51.399242,27.920400,0
2004,203.137986,197.114955,60.234609,26.123590,0
2005,209.293477,195.945485,65.269580,23.325880,0
2006,216.428256,191.081226,67.995590,23.139680,0
2007,228.427157,188.370738,73.369567,26.275120,0
2008,253.041243,172.448086,75.923500,26.079810,0
2009,262.394545,174.098735,72.171459,24.553390,0
2010,295.050323,177.391053,91.540405,24.297350,0
2011,320.169094,172.560665,98.513225,24.720600,0
2012,316.989866,171.793132,106.565205,24.848600,0
2013,320.643622,169.775540,111.530033,25.050140,0
2014,331.303871,162.761193,101.445313,25.411990,0
2015,335.411292,171.631321,92.590031,25.778710,0
2016,320.697359,185.413320,96.654932,26.671760,0
2017,337.668762,180.697686,100.859186,26.350580,0
2018,340.347600,179.105873,117.172116,24.702060,0
2019,321.606070,177.453103,113.586430,25.075894,0
2020,282.883413,166.716560,114.830613,22.871408,0
