"Year","Coal","Oil","Gas","Cement","Flaring"
2000,50.906012,154.978374,48.592647,16.446371,3.803285
2001,64.628561,149.855728,61.162388,18.461538,9.233165
2002,66.665219,156.843069,59.764222,18.136511,9.409265
2003,89.489682,162.447104,62.661728,17.811484,8.031488
2004,82.216103,173.895339,61.885636,19.046587,7.350064
2005,94.222089,174.754480,54.450704,18.526544,7.034880
2006,111.640521,152.499344,57.425872,19.046587,6.093232
2007,140.065990,166.224688,57.077792,19.566631,5.320128
2008,121.844541,158.303120,60.313104,20.541712,5.290816
2009,128.274197,181.260245,64.540826,19.436620,8.445450
2010,153.076953,195.674233,73.730036,19.436620,10.013626
2011,181.280983,211.328528,81.553312,21.061755,9.537392
2012,187.171325,218.777440,80.062064,23.271939,12.245088
2013,164.219227,229.408315,64.753293,24.767064,12.926476
2014,173.584305,220.592833,62.415688,25.482124,16.898219
2015,197.815239,219.406061,94.252054,24.507042,15.494944
2016,206.327890,219.142417,91.185376,28.710000,15.480299
2017,221.093265,226.619971,84.338537,32.080647,11.043373
2018,262.222125,222.595328,84.147424,34.828471,11.090928
2019,315.400701,218.689956,82.997885,32.414516,11.090928
2020,300.517866,165.610156,78.477708,33.803710,11.090928
