"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,22.631530,38.354881,22.622064,7.935715,2.727614,0.860722
2001,21.964738,38.292654,21.623689,8.040357,2.088748,0.878806
2002,21.954435,38.312687,22.324004,8.105250,2.548364,0.986873
2003,22.372334,38.893257,21.678842,7.884690,2.647792,1.045793
2004,22.517936,40.312321,21.766599,8.088826,2.558654,1.136689
2005,22.849045,40.370682,21.426947,7.970947,2.579965,1.222781
2006,22.498857,39.855273,21.116800,7.973813,2.747688,1.443740
2007,22.801859,39.606320,22.468979,8.117302,2.324109,1.648444
2008,22.438997,36.985303,22.640082,8.064720,2.385791,2.063911
2009,19.736555,35.054081,22.234612,7.941829,2.564479,2.344716
2010,20.881950,35.608420,23.334964,7.973274,2.414910,2.698662
2011,19.703057,34.908954,23.695589,7.760030,2.948938,3.032826
2012,17.418257,34.111584,24.772420,7.509262,2.541006,3.267011
2013,18.080177,34.700020,25.452822,7.655011,2.456755,3.696692
2014,18.039082,34.938157,26.001376,7.687765,2.343104,3.978666
2015,15.584680,35.660069,26.768862,7.642119,2.244484,4.185934
2016,14.258668,35.924692,26.967562,7.678055,2.387920,4.742929
2017,13.869334,36.276651,26.639721,7.625839,2.671258,5.173965
2018,13.282051,37.143044,29.581740,7.601350,2.590394,5.439860
2019,11.341655,37.131994,30.572556,7.595138,2.544767,5.709858
2020,9.202777,32.540307,29.952700,7.385018,2.563918,6.149878
