"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.746871,0.331973,0.172078,0,0.075311,0
2001,0.933652,0.331816,0.147355,0,0.080287,0
2002,0.945903,0.339003,0.147882,0,0.087748,0
2003,1.044406,0.369836,0.168602,0,0.084587,0
2004,1.113308,0.392326,0.180050,0,0.078514,0
2005,1.125617,0.402312,0.230578,0,0.076074,0
2006,1.186430,0.460700,0.253490,0,0.074749,0
2007,1.303719,0.499439,0.306418,0,0.078139,0
2008,1.414622,0.499233,0.326408,0,0.070892,0
2009,1.295255,0.405812,0.315223,0,0.064969,0
2010,1.397720,0.418674,0.343739,0,0.075299,0
2011,1.521504,0.554838,0.382474,0,0.073546,0.000001
2012,1.584955,0.592634,0.410828,0,0.070818,0.000025
2013,1.569171,0.603621,0.430263,0,0.071253,0.000049
2014,1.550581,0.616832,0.483207,0,0.075701,0.000133
2015,1.433518,0.734206,0.489697,0,0.084416,0.001624
2016,1.419025,0.689407,0.509490,0,0.105206,0.003307
2017,1.522496,0.769590,0.543057,0,0.100892,0.003911
2018,1.704784,0.811856,0.625359,0,0.092841,0.004733
2019,1.661804,0.762254,0.626654,0,0.089087,0.009837
2020,1.635729,0.752160,0.598195,0,0.087004,0.032977
