"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.278678,3.993053,3.211946,0.722937,3.567601,0.097548
2001,1.328843,4.105667,3.025519,0.756675,3.293683,0.105115
2002,1.336577,4.258988,3.148795,0.740323,3.447679,0.108945
2003,1.333287,4.417875,3.232253,0.729414,3.296751,0.105405
2004,1.259475,4.611315,3.161512,0.874711,3.297767,0.110964
2005,1.254042,4.483998,3.181687,0.885076,3.505015,0.111017
2006,1.214760,4.523656,3.153021,0.936121,3.395708,0.117007
2007,1.269971,4.648722,3.361001,0.887803,3.515380,0.142535
2008,1.206829,4.485862,3.355316,0.906146,3.587306,0.145600
2009,1.008282,4.370226,3.258950,0.844948,3.482048,0.180362
2010,1.033147,4.567450,3.312572,0.845048,3.298275,0.218412
2011,0.931414,4.576406,3.640458,0.867045,3.505227,0.256105
2012,0.890688,4.635962,3.592990,0.873514,3.526113,0.293120
2013,0.861579,4.613208,3.814015,0.946761,3.611066,0.295558
2014,0.822836,4.611882,3.972710,0.976035,3.504354,0.306349
2015,0.824117,4.624487,3.976338,0.920740,3.480689,0.437805
2016,0.770602,4.611656,3.831964,0.911875,3.489418,0.491603
2017,0.783998,4.571623,3.971002,0.905353,3.551286,0.460004
2018,0.652789,4.734158,4.191165,0.895016,3.452735,0.512806
2019,0.634692,4.780728,4.242392,0.895841,3.384513,0.513118
2020,0.495247,4.260597,4.054864,0.866210,3.416515,0.535799
