"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,3.124675,0.951474,0.041026,0.130100,0.011010,0.004868
2001,3.135848,0.971937,0.049785,0.106494,0.017098,0.004311
2002,2.982953,0.996992,0.050111,0.118363,0.020571,0.006433
2003,3.315478,1.032923,0.037891,0.124195,0.008115,0.006149
2004,3.632785,1.071693,0.087634,0.130246,0.009257,0.006282
2005,3.348951,1.073588,0.124398,0.109353,0.012898,0.005274
2006,3.411100,1.094444,0.134808,0.096477,0.027883,0.004457
2007,3.502719,1.116891,0.136471,0.108219,0.027402,0.007245
2008,3.907809,1.059209,0.141189,0.123578,0.011970,0.006829
2009,3.928210,1.038810,0.119664,0.120946,0.013710,0.005836
2010,3.886330,1.084488,0.148394,0.126971,0.010728,0.004869
2011,3.789562,1.097210,0.154114,0.120366,0.028583,0.006621
2012,3.698582,1.125336,0.156864,0.120243,0.009444,0.007056
2013,3.699404,1.145223,0.145957,0.130013,0.010175,0.008942
2014,3.746591,1.129238,0.154736,0.126376,0.016446,0.025623
2015,3.515356,1.245974,0.155471,0.111444,0.005379,0.058836
2016,3.780195,1.195201,0.131568,0.136034,0.009293,0.073507
2017,3.718601,1.192399,0.144393,0.127737,0.017656,0.097122
2018,3.528937,1.189240,0.158788,0.103611,0.010466,0.105096
2019,3.641206,1.174324,0.152769,0.121200,0.008682,0.109718
2020,3.482475,1.016437,0.145834,0.138190,0.004434,0.114531
