"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.797167,4.301076,0.713079,1.089637,0.040096,0.001010
2001,1.914381,4.304364,0.783279,1.114049,0.023148,0.001061
2002,2.057004,4.389029,0.870398,1.175661,0.031911,0.001983
2003,2.140476,4.429043,0.911659,1.271781,0.047916,0.002164
2004,2.227311,4.391488,1.068300,1.273845,0.042012,0.003643
2005,2.294178,4.409736,1.143813,1.421341,0.035571,0.004474
2006,2.371923,4.411019,1.205949,1.431357,0.033367,0.007151
2007,2.497552,4.531737,1.306143,1.366837,0.034728,0.011952
2008,2.767466,4.317811,1.344126,1.434569,0.029176,0.020488
2009,2.871935,4.374647,1.277694,1.395613,0.026569,0.027554
2010,3.229773,4.478374,1.620593,1.394794,0.034561,0.056972
2011,3.503824,4.507423,1.744037,1.443453,0.042893,0.084903
2012,3.376085,4.645048,1.891031,1.393944,0.036804,0.094979
2013,3.414084,4.642604,1.979130,1.279153,0.039534,0.116596
2014,3.533605,4.621253,1.800144,1.432946,0.025208,0.153633
2015,3.575577,4.835494,1.643390,1.500515,0.019541,0.176365
2016,3.412213,5.216115,1.715173,1.466583,0.025768,0.189973
2017,3.608046,5.270400,1.791230,1.335841,0.025279,0.235232
2018,3.627896,5.224222,2.080944,1.194521,0.030058,0.271764
2019,3.439318,5.164293,2.017218,1.300694,0.024859,0.301418
2020,3.029066,4.903856,2.039325,1.422693,0.034443,0.358154
