"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,2.354811,0.866273,0.416992,0,0.021060,0.002260
2001,2.327069,0.846287,0.434447,0,0.023099,0.004550
2002,2.283016,0.862555,0.423419,0,0.022496,0.004817
2003,2.350423,0.876110,0.471462,0,0.016389,0.006858
2004,2.281355,0.936209,0.497416,0,0.020290,0.010234
2005,2.307683,0.968219,0.512234,0,0.021313,0.018002
2006,2.403302,1.049572,0.518052,0,0.019649,0.025406
2007,2.342412,1.086486,0.518191,0,0.022491,0.033451
2008,2.311857,1.114826,0.563171,0,0.020460,0.060582
2009,2.170349,1.102557,0.543412,0,0.022431,0.085467
2010,2.305883,1.162978,0.584375,0,0.027409,0.101535
2011,2.301184,1.158374,0.592291,0,0.021756,0.129174
2012,2.144870,1.114866,0.627097,0,0.018889,0.169086
2013,2.234960,1.036718,0.626775,0,0.022480,0.165445
2014,2.070175,1.040711,0.612490,0,0.020000,0.190940
2015,2.037770,1.088261,0.615557,0,0.016684,0.215345
2016,2.072410,1.195973,0.657274,0,0.019365,0.205375
2017,2.083965,1.298019,0.690492,0,0.023040,0.219319
2018,2.085031,1.331426,0.717338,0,0.017626,0.213903
2019,1.857882,1.357116,0.751996,0,0.017419,0.250657
2020,1.669376,1.282290,0.776060,0,0.018785,0.266424
