"Year","Coal","Oil","Gas","Cement","Flaring"
2000,186.942000,102.976216,46.885004,3.643479,8.002672
2001,191.834949,103.536396,49.769358,3.573847,8.248443
2002,194.076948,106.126629,51.352988,3.541495,8.131120
2003,197.461817,110.743032,50.233250,3.622382,7.235656
2004,204.293219,114.937801,53.059073,3.591269,6.930287
2005,201.451589,116.943646,54.680660,3.677853,6.942461
2006,206.941822,118.868460,56.508990,3.936702,7.136747
2007,204.714241,120.160665,61.399959,3.994399,7.549347
2008,207.415679,123.968002,62.615292,3.914701,7.583367
2009,203.141854,120.642597,62.221846,3.774968,7.854227
2010,200.252622,124.383865,64.171573,3.543596,8.179044
2011,192.844687,130.294807,66.729290,3.508635,7.904587
2012,187.514836,132.536475,67.124254,3.488039,8.217193
2013,174.256021,134.566468,68.821037,3.255357,8.742874
2014,170.392592,139.450031,72.773328,3.179784,9.398478
2015,174.960954,137.944710,72.362414,3.089795,10.876884
2016,181.723834,138.744952,75.955716,2.966346,12.592677
2017,176.971641,139.584895,76.405243,3.020179,14.868801
2018,169.640219,142.784670,79.770307,2.946470,16.954484
2019,164.066313,141.898646,81.576167,3.024613,20.102012
2020,159.817374,124.605623,80.208272,3.024613,20.341170
