"Year","Coal","Oil","Gas","Cement","Flaring"
2000,1.205821,1.517405,0.720450,0.093137,0.020721
2001,1.201603,1.558328,0.744699,0.090867,0.019587
2002,1.206933,1.548214,0.750295,0.089957,0.020332
2003,1.240201,1.558624,0.788229,0.091186,0.021349
2004,1.235771,1.552342,0.806100,0.095364,0.020079
2005,1.199227,1.546475,0.828228,0.095824,0.020834
2006,1.217631,1.530775,0.829712,0.098589,0.022759
2007,1.237804,1.477237,0.816153,0.103024,0.022554
2008,1.148782,1.465524,0.840488,0.095849,0.022318
2009,1.012127,1.389880,0.788002,0.078336,0.020398
2010,1.066651,1.372959,0.850188,0.076743,0.021004
2011,1.086144,1.316501,0.786662,0.075468,0.021521
2012,1.083146,1.269844,0.769068,0.071130,0.021470
2013,1.054546,1.239223,0.750137,0.067409,0.022856
2014,1.015969,1.222762,0.666868,0.070589,0.022291
2015,1.012045,1.249628,0.698485,0.069979,0.021937
2016,0.962494,1.265768,0.739059,0.069950,0.021381
2017,0.948659,1.272824,0.767014,0.072106,0.021953
2018,0.900002,1.260595,0.752371,0.073403,0.021584
2019,0.739714,1.265395,0.774060,0.073317,0.020687
2020,0.597821,1.117325,0.752741,0.073317,0.020719
