"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.104014,0.980406,1.035144,0,0.069940,0.005709
2001,0.124307,1.022659,0.997547,0,0.060266,0.005704
2002,0.152381,1.143046,1.011196,0,0.053451,0.003992
2003,0.222421,1.205036,1.089573,0,0.049921,0.004085
2004,0.277483,1.226324,1.176993,0,0.054310,0.005617
2005,0.288236,1.226389,1.345428,0,0.058169,0.005737
2006,0.305348,1.266704,1.399103,0,0.060844,0.006263
2007,0.370158,1.350720,1.454452,0,0.056964,0.008560
2008,0.409279,1.295528,1.567789,0,0.074191,0.009348
2009,0.444466,1.287824,1.440803,0,0.065072,0.013345
2010,0.618270,1.292424,1.368832,0,0.059708,0.011855
2011,0.618060,1.382869,1.379425,0,0.075157,0.015348
2012,0.664503,1.446564,1.512565,0,0.085782,0.018801
2013,0.630403,1.540529,1.604424,0,0.108747,0.019337
2014,0.642537,1.544189,1.609532,0,0.122657,0.020981
2015,0.728267,1.429717,1.686234,0,0.126808,0.025601
2016,0.784249,1.595770,1.619747,0,0.181282,0.025963
2017,0.869059,1.510795,1.621590,0,0.241614,0.025712
2018,0.932195,1.515201,1.608401,0,0.235539,0.035985
2019,0.954837,1.594679,1.609128,0,0.229697,0.042426
2020,1.136705,1.377264,1.373479,0,0.180323,0.044829
