"Year","Croatia","World"
1950,0.760363,2.378734
1951,0.711081,2.515504
1952,0.704668,2.502896
1953,0.692421,2.524970
1954,0.818084,2.527923
1955,0.929438,2.716614
1956,1.056515,2.835461
1957,1.138734,2.869636
1958,1.115553,2.891376
1959,1.273566,2.985590
1960,1.385959,3.112931
1961,1.446544,3.071906
1962,1.473298,3.120741
1963,1.626815,3.215595
1964,1.831399,3.315825
1965,1.873561,3.391959
1966,1.845365,3.484865
1967,1.854666,3.523155
1968,1.973358,3.640223
1969,2.037086,3.802135
1970,2.653349,4.032588
1971,2.846979,4.112597
1972,2.653932,4.219747
1973,3.162138,4.355556
1974,3.161676,4.253289
1975,3.284049,4.173319
1976,3.374392,4.310191
1977,3.266577,4.352449
1978,3.637139,4.432504
1979,3.941588,4.465701
1980,3.860022,4.364099
1981,4.176381,4.168842
1982,3.815379,4.060496
1983,4.088062,4.023942
1984,4.292144,4.068703
1985,4.360339,4.137420
1986,4.537359,4.122175
1987,4.413007,4.179654
1988,4.540229,4.262697
1989,4.512203,4.241189
1990,4.733177,4.266701
1991,3.523084,4.282473
1992,3.425003,4.090168
1993,3.554324,4.068620
1994,3.433752,4.047994
1995,3.640004,4.083544
1996,3.800372,4.148108
1997,4.122249,4.114970
1998,4.282828,4.044522
1999,4.578896,4.079117
2000,4.542812,4.133621
2001,4.830406,4.107635
2002,5.089788,4.144280
2003,5.393054,4.307030
2004,5.302179,4.399256
2005,5.400056,4.493561
2006,5.444228,4.585831
2007,5.746530,4.661509
2008,5.450213,4.682571
2009,5.046321,4.545518
2010,4.877337,4.744937
2011,4.815582,4.848876
2012,4.472638,4.854014
2013,4.337486,4.837742
2014,4.182966,4.804597
2015,4.253117,4.739116
2016,4.370730,4.682487
2017,4.587450,4.705259
2018,4.396296,4.752195
2019,4.470379,4.747814
2020,4.266637,4.457744
2021,4.434319,4.634748
2022,4.500907,4.678452
2023,4.740115,4.707772
2024,4.764723,4.729075
