"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-6.505130,-6.505130,-12.687867,-14.436821,-6.281223,-4.184932,-4.184932,-8.293037,-6.933593,-6.745760,-6.431428,-6.531462,-5.543423,-6.680950,-6.627379,-6.677425,-6.688920,-6.470768,-6.497016,-6.021196,-6.356827,-6.394075,-6.395725
1991,-6.505130,-6.505130,-12.687867,-14.722106,-10.796162,-8.699645,-8.699645,-7.597670,-6.833757,-6.650557,-8.104425,-8.182002,-7.115175,-7.911201,-7.876881,-7.894201,-7.904778,-7.723981,-7.756179,-7.201276,-7.530216,-7.576633,-7.578443
1992,-6.505130,-6.505130,-12.687867,-14.776098,-10.833572,-9.294325,-9.294325,-7.456832,-6.831515,-6.782363,-8.582457,-8.649768,-7.439018,-8.191239,-8.082500,-8.087955,-8.041486,-7.879880,-7.896945,-7.320069,-7.649242,-7.697556,-7.699306
1993,-6.505130,-6.505130,-12.687867,-14.689189,-10.994581,-8.036657,-8.036657,-7.503705,-6.834611,-6.542178,-8.594823,-8.656327,-8.007697,-8.731031,-8.480793,-8.474384,-8.324865,-8.182616,-8.185496,-7.523793,-7.847428,-7.897483,-7.898980
1994,-6.505130,-6.505130,-12.687867,-16.050998,-10.738809,-8.658339,-8.658339,-7.689823,-6.871917,-6.691962,-8.512327,-8.588028,-7.861981,-8.671607,-8.610432,-8.592158,-8.560104,-8.437214,-8.436172,-7.753553,-8.076309,-8.125479,-8.126724
1995,-6.505130,,,-20.534919,-10.628557,-9.154241,-9.154241,-7.474842,-6.862769,-6.839703,-9.084880,-9.162481,-8.448061,-9.175006,-9.155167,-9.125029,-9.112635,-9.009110,-8.995933,-8.232512,-8.555459,-8.606187,-8.608100
1996,-8.069177,-8.069177,-12.687867,-20.589259,-9.969031,-9.489963,-9.489963,-9.217484,-6.471815,-6.386281,-8.836972,-8.908569,-8.144369,-8.943824,-8.870626,-8.828622,-8.772339,-8.688181,-8.660444,-7.898459,-8.215553,-8.265373,-8.267120
1997,-8.069177,-8.069177,-14.441900,-20.832047,-8.971357,-8.202944,-8.202944,-9.582341,-6.684358,-6.521212,-8.281548,-8.305795,-7.502949,-8.429924,-8.356257,-8.304056,-8.242900,-8.177682,-8.137213,-7.293287,-7.608109,-7.655099,-7.656997
1998,-8.069177,-8.069177,-14.441900,-20.446268,-8.322631,-6.841152,-6.841152,-9.692751,-6.860212,-6.566510,-8.196334,-8.141593,-7.560985,-8.517221,-8.259052,-8.203752,-8.014737,-7.957406,-7.907278,-7.147330,-7.462355,-7.510813,-7.511579
1999,-8.069177,-8.069177,-14.441900,-20.279765,-8.226673,-8.153082,-8.153082,-9.837355,-7.028777,-6.938044,-8.556415,-8.450260,-7.743317,-8.660503,-8.690032,-8.632401,-8.629248,-8.580103,-8.542070,-7.874582,-8.187649,-8.236310,-8.237752
2000,-8.069177,-8.069177,-14.441900,-19.285099,-8.011805,-5.280744,-5.280744,-10.080010,-7.217957,-6.538084,-7.784699,-7.642241,-7.330145,-8.333874,-7.700767,-7.640441,-7.193152,-7.151717,-7.085550,-6.584694,-6.897416,-6.947259,-6.946550
2001,-8.069177,-8.069177,-14.441900,-17.776815,-8.879811,-8.213796,-8.213796,-10.189367,-7.388135,-7.075486,-8.188467,-7.931344,-7.234140,-8.128387,-8.054566,-8.011969,-7.956285,-7.904411,-7.861591,-7.723670,-8.012770,-8.061802,-8.062248
