"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-6.508521,-0.000146,-0.002967,0.003824,
1991,-8.202069,-0.000150,-0.002989,0.003853,
1992,-8.529454,-0.000146,-0.002969,0.003827,
1993,-8.787779,-0.000152,-0.003063,0.003947,
1994,-8.596064,-0.000153,-0.003123,0.004025,
1995,-9.007023,-0.000155,-0.003161,0.004074,
1996,-8.806081,-0.000159,-0.003245,0.004183,
1997,-8.329923,-0.000164,-0.003253,0.004193,
1998,-8.373521,-0.000168,-0.003315,0.004273,
1999,-8.551690,-0.000168,-0.003437,0.004429,
2000,-8.345703,-0.000177,-0.003485,0.004491,
2001,-8.419655,-0.000180,-0.003541,0.004564,
2002,-8.580531,-0.000192,-0.003636,0.004686,
2003,-8.362430,-0.000196,-0.003717,0.004791,
2004,-8.224010,-0.000293,-0.004107,0.005166,
2005,-8.337843,-0.000375,-0.006500,0.008013,
2006,-8.248003,-0.000450,-0.008749,0.010662,
2007,-7.731870,-0.000560,-0.011910,0.014413,
2008,-7.633691,-0.000752,-0.013290,0.015863,
2009,-7.962177,-0.000994,-0.016859,0.019984,
2010,-7.776446,-0.001375,-0.020885,0.024528,
2011,-6.759550,-0.001583,-0.025767,0.030270,
2012,-6.617855,-0.002171,-0.029839,0.034470,
2013,-6.637438,-0.002631,-0.035569,0.040569,
2014,-6.338962,-0.003092,-0.042341,0.047655,
2015,-5.985830,-0.003306,-0.047488,0.051917,
2016,-5.833228,-0.003523,-0.048443,0.053147,
2017,-5.611466,-0.003720,-0.051569,0.057177,
2018,-5.535683,-0.003773,-0.052803,0.058767,
2019,-5.799884,-0.003788,-0.052975,0.058988,
2020,-6.263230,-0.003805,-0.053057,0.059094,
2021,-5.922292,-0.003824,-0.053231,0.059319,
2022,-5.616208,-0.003820,-0.053232,0.059319,
2023,-5.813950,-0.003919,-0.053912,0.060197,
