"Year","Croatia","World"
1950,0.049012,2.378734
1951,0.063805,2.515504
1952,0.064713,2.502896
1953,0.075003,2.524970
1954,0.092801,2.527923
1955,0.119085,2.716614
1956,0.122074,2.835461
1957,0.160589,2.869636
1958,0.185560,2.891376
1959,0.233930,2.985590
1960,0.362954,3.112931
1961,0.511005,3.071906
1962,0.608405,3.120741
1963,0.664418,3.215595
1964,0.749505,3.315825
1965,0.864348,3.391959
1966,0.938676,3.484865
1967,1.006253,3.523155
1968,1.106729,3.640223
1969,1.191140,3.802135
1970,1.312816,4.032588
1971,1.395636,4.112597
1972,1.502130,4.219747
1973,1.567627,4.355556
1974,1.639342,4.253289
1975,1.743954,4.173319
1976,1.851579,4.310191
1977,1.896707,4.352449
1978,1.968798,4.432504
1979,1.974225,4.465701
1980,2.009635,4.364099
1981,2.021913,4.168842
1982,1.986006,4.060496
1983,1.901702,4.023942
1984,1.962498,4.068703
1985,2.130544,4.137420
1986,2.118999,4.122175
1987,2.077145,4.179654
1988,2.225793,4.262697
1989,2.047062,4.241189
1990,1.918666,4.266701
1991,1.810141,4.282473
1992,1.911342,4.090168
1993,2.025234,4.068620
1994,1.830430,4.047994
1995,1.871423,4.083544
1996,1.789115,4.148108
1997,1.854506,4.114970
1998,1.662440,4.044522
1999,1.577789,4.079117
2000,1.590624,4.133621
2001,1.689441,4.107635
2002,1.714292,4.144280
2003,1.704410,4.307030
2004,1.669499,4.399256
2005,1.663073,4.493561
2006,1.828807,4.585831
2007,1.874629,4.661509
2008,1.744297,4.682571
2009,1.706510,4.545518
2010,1.678621,4.744937
2011,1.537055,4.848876
2012,1.295757,4.854014
2013,1.220198,4.837742
2014,1.190601,4.804597
2015,1.270484,4.739116
2016,1.274976,4.682487
2017,1.221288,4.705259
2018,1.111667,4.752195
2019,1.009606,4.747814
2020,0.876134,4.457744
2021,0.813730,4.634748
2022,0.782726,4.678452
2023,0.737141,4.707772
2024,0.757720,4.729075
