"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,-0.490000,-1.710000,"NaN","NaN",-0.010000,0.030000,"NaN",2.240000
2021,0.190000,2.310000,"NaN","NaN",0.030000,0.020000,"NaN",-2.200000
2022,-0.260000,-2.150000,"NaN","NaN","NaN",-0.040000,"NaN",1.730000
2023,-0.320000,1.630000,"NaN","NaN","NaN",-0.040000,"NaN",-1.930000
2024,0.250000,-1.020000,"NaN","NaN","NaN",-0.040000,"NaN",-0.430000
