"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.049467,0.050745,-0.001864,-0.001251,-0.003349,0.000002
1991,-0.049536,0.034409,-0.001865,-0.001252,-0.003349,0.000002
1992,-0.049606,0.045513,-0.001865,-0.001253,-0.003349,0.000002
1993,-0.049675,0.042022,-0.001866,-0.001253,-0.003349,0.000002
1994,-0.049745,0.061732,-0.001866,-0.001253,-0.003349,0.000002
1995,-0.049814,0.047809,-0.001866,-0.001253,-0.003349,0.000002
1996,-0.049884,0.039152,-0.001866,-0.001253,-0.003349,0.000002
1997,-0.049844,0.050311,-0.001857,-0.001244,-0.003329,0.000002
1998,-0.049805,0.041795,-0.001849,-0.001236,-0.003308,0.000002
1999,-0.049765,0.040081,-0.001840,-0.001227,-0.003288,0.000002
2000,-0.049725,0.065810,-0.001832,-0.001219,-0.003268,0.000002
2001,-0.049686,0.041650,-0.001823,-0.001211,-0.003248,0.000002
2002,-0.049646,0.042107,-0.001814,-0.001202,-0.003228,0.000002
2003,-0.049643,0.045959,-0.001806,-0.001193,-0.003201,0.000002
2004,-0.049640,0.047930,-0.001797,-0.001184,-0.003174,0.000002
2005,-0.049637,0.047722,-0.001788,-0.001175,-0.003147,0.000003
2006,-0.049635,0.052382,-0.001779,-0.001166,-0.003120,0.000003
2007,-0.049632,0.061422,-0.001772,-0.001156,-0.003093,0.000003
2008,-0.049629,0.063324,-0.001765,-0.001147,-0.003066,0.000003
2009,-0.049724,0.060286,-0.001784,-0.001163,-0.003141,0.000003
2010,-0.049820,0.058812,-0.001803,-0.001179,-0.003217,0.000003
2011,-0.040510,0.040802,-0.001822,-0.001195,-0.003293,0.000003
2012,-0.040580,0.041029,-0.001841,-0.001211,-0.003369,0.000003
2013,-0.040650,0.036060,-0.001860,-0.001227,-0.003444,0.000003
2014,-0.040720,0.036048,-0.001879,-0.001243,-0.003520,0.000003
2015,-0.040711,0.032518,-0.001891,-0.001324,-0.003774,0.000003
2016,-0.040703,0.031333,-0.001902,-0.001406,-0.004029,0.000003
2017,-0.040695,0.032429,-0.001920,-0.001497,-0.004304,0.000003
2018,-0.040686,0.039808,-0.001938,-0.001587,-0.004580,0.000003
2019,-0.040678,0.033338,-0.001956,-0.001678,-0.004856,0.000003
2020,-0.040711,0.028521,-0.001970,-0.001714,-0.004980,0.000003
2021,-0.040744,0.025727,-0.001983,-0.001749,-0.005103,0.000003
2022,-0.040777,0.027240,-0.001997,-0.001784,-0.005226,0.000003
2023,-0.040810,0.027572,-0.002010,-0.001820,-0.005357,0.000003
