"Year","Indonesia","World"
1950,0.141309,2.372741
1951,0.132223,2.509281
1952,0.175289,2.496828
1953,0.176260,2.519009
1954,0.194230,2.522133
1955,0.268118,2.710743
1956,0.273797,2.829705
1957,0.274347,2.864250
1958,0.264932,2.886446
1959,0.277314,2.981084
1960,0.241961,3.109071
1961,0.286308,3.068418
1962,0.246128,3.117449
1963,0.237208,3.212604
1964,0.226747,3.313059
1965,0.243859,3.389338
1966,0.225712,3.482441
1967,0.230942,3.521091
1968,0.252547,3.638560
1969,0.297481,3.800910
1970,0.310613,4.031813
1971,0.329161,4.112250
1972,0.356418,4.219880
1973,0.393701,4.358162
1974,0.400378,4.257539
1975,0.411030,4.190445
1976,0.459320,4.342568
1977,0.597820,4.387958
1978,0.665044,4.445411
1979,0.657509,4.491730
1980,0.640267,4.385349
1981,0.661213,4.204303
1982,0.680184,4.095304
1983,0.662406,4.047822
1984,0.692779,4.114002
1985,0.733435,4.177916
1986,0.722298,4.164586
1987,0.718464,4.215461
1988,0.755408,4.303169
1989,0.735815,4.285587
1990,0.851345,4.275440
1991,0.943374,4.288762
1992,1.057596,4.101485
1993,1.121893,4.079975
1994,1.125395,4.061836
1995,1.122491,4.097368
1996,1.256693,4.164388
1997,1.368051,4.131378
1998,1.176409,4.059213
1999,1.383911,4.096031
2000,1.314183,4.148800
2001,1.460198,4.125716
2002,1.401476,4.162733
2003,1.521236,4.327484
2004,1.518207,4.421495
2005,1.519271,4.515645
2006,1.495415,4.611727
2007,1.651456,4.688505
2008,1.537041,4.708763
2009,1.655490,4.572416
2010,1.826953,4.774950
2011,2.026407,4.878259
2012,2.061980,4.887112
2013,1.930918,4.868795
2014,1.904111,4.830362
2015,2.080918,4.767311
2016,2.062575,4.713752
2017,2.105658,4.735624
2018,2.224542,4.780249
2019,2.425197,4.778430
2020,2.237283,4.479880
2021,2.263434,4.676995
2022,2.675387,4.676281
2023,2.641924,4.697341
